State,District,Crop_Year,Annual_Rainfall_mm,Monsoon_Rainfall_mm,Deviation_From_Normal_%
Karnataka,Raichur,2016.0,803.3,497.6,22.2
Karnataka,Raichur,2020.0,600.2,396.1,-1.33
Karnataka,Belgaum,2016.0,590.8,325.8,9.65
Andhra Pradesh,Prakasam,2016.0,847.6,517.4,3.76
Telangana,Warangal,2016.0,555.7,405.0,-3.84
Telangana,Adilabad,2015.0,895.2,601.6,-20.19
Andhra Pradesh,Krishna,2015.0,697.3,522.3,-8.89
Maharashtra,Aurangabad,2016.0,932.9,597.5,7.44
Punjab,Ludhiana,2015.0,1092.8,680.2,-0.46
Tamil Nadu,Thanjavur,2019.0,1137.8,851.5,-7.12
Karnataka,Belgaum,2017.0,562.3,389.8,-16.85
Karnataka,Raichur,2019.0,1069.6,775.8,-15.65
Karnataka,Belgaum,2020.0,690.0,384.5,-1.74
Maharashtra,Nagpur,2020.0,730.3,504.8,-9.46
Punjab,Ludhiana,2015.0,901.6,578.5,16.75
Maharashtra,Nagpur,2022.0,1079.9,719.1,-6.05
Andhra Pradesh,Prakasam,2021.0,564.9,386.4,4.35
Andhra Pradesh,Guntur,2020.0,1071.4,626.1,2.1
Tamil Nadu,Thanjavur,2021.0,1093.5,669.9,13.82
Punjab,Patiala,2020.0,876.7,510.3,-1.85
Andhra Pradesh,Prakasam,2021.0,908.1,653.2,19.31
Maharashtra,Aurangabad,2016.0,1074.4,674.4,8.64
Punjab,Patiala,2015.0,804.5,445.8,1.19
Telangana,Adilabad,2021.0,587.1,324.2,10.58
Punjab,Ludhiana,2017.0,519.0,350.2,18.4
Punjab,Patiala,2021.0,908.5,560.4,14.06
Telangana,Nizamabad,2019.0,920.6,668.5,3.12
Karnataka,Raichur,2021.0,640.3,413.2,3.35
Tamil Nadu,Madurai,2019.0,914.6,518.6,11.62
Karnataka,Belgaum,2023.0,848.6,467.2,3.06
Andhra Pradesh,Prakasam,2016.0,584.0,348.1,14.82
Tamil Nadu,Coimbatore,2017.0,645.9,367.4,-13.24
Punjab,Ludhiana,2022.0,508.7,327.1,12.92
Andhra Pradesh,Guntur,2022.0,852.3,600.3,-4.19
Telangana,Nizamabad,2023.0,839.7,598.4,7.29
Tamil Nadu,Madurai,2016.0,634.4,469.1,-16.37
Andhra Pradesh,Prakasam,2017.0,626.7,351.5,-10.9
Punjab,Patiala,2018.0,1103.1,631.5,-0.46
Tamil Nadu,Thanjavur,2021.0,1116.5,745.0,-1.21
Andhra Pradesh,Krishna,2017.0,968.0,598.4,6.11
Andhra Pradesh,Guntur,2017.0,857.8,499.9,-11.25
Andhra Pradesh,Krishna,2015.0,994.6,654.3,14.06
Telangana,Nizamabad,2016.0,667.0,432.5,-11.21
Punjab,Ludhiana,2018.0,1190.9,871.1,16.98
Karnataka,Raichur,2022.0,901.8,555.9,15.34
Andhra Pradesh,Krishna,2018.0,656.1,481.8,1.03
Telangana,Adilabad,2023.0,614.3,357.8,-20.92
Punjab,Ludhiana,2022.0,931.4,615.3,24.96
Maharashtra,Nagpur,2016.0,564.7,418.2,-24.57
Andhra Pradesh,Krishna,2017.0,530.5,306.3,-19.71
Telangana,Adilabad,2015.0,819.9,578.0,-6.13
Punjab,Patiala,2020.0,967.5,573.4,-17.38
Tamil Nadu,Thanjavur,2016.0,1029.4,616.7,11.19
Andhra Pradesh,Prakasam,2016.0,573.4,346.4,21.2
Maharashtra,Aurangabad,2020.0,518.9,299.2,3.17
Tamil Nadu,Coimbatore,2023.0,1158.3,852.6,-12.17
Punjab,Patiala,2019.0,1014.7,647.2,-7.41
Maharashtra,Nagpur,2015.0,702.2,421.4,16.72
Telangana,Nizamabad,2016.0,813.4,506.1,-13.45
Punjab,Patiala,2015.0,1158.9,825.9,-8.72
Punjab,Amritsar,2019.0,713.6,491.5,-6.84
Punjab,Patiala,2016.0,1058.7,738.8,-17.0
Telangana,Nizamabad,2023.0,1029.3,676.1,14.86
Punjab,Amritsar,2020.0,1105.2,803.4,5.52
Andhra Pradesh,Krishna,2018.0,1186.8,765.6,2.91
Telangana,Warangal,2018.0,1157.4,659.2,13.84
Karnataka,Raichur,2022.0,738.2,483.8,5.76
Maharashtra,Pune,2022.0,1126.8,649.6,13.86
Maharashtra,Aurangabad,2016.0,1199.0,719.7,-17.42
Punjab,Ludhiana,2017.0,1196.9,890.7,24.42
Andhra Pradesh,Prakasam,2018.0,1096.3,751.5,-11.25
Andhra Pradesh,Guntur,2019.0,832.4,487.9,23.73
Maharashtra,Nagpur,2015.0,811.2,594.4,4.96
Punjab,Ludhiana,2022.0,534.5,366.1,17.79
Telangana,Warangal,2018.0,917.0,673.9,2.85
Karnataka,Raichur,2022.0,1156.6,684.6,22.8
Telangana,Warangal,2015.0,871.7,639.1,-15.54
Karnataka,Belgaum,2020.0,749.5,551.5,19.63
Telangana,Adilabad,2018.0,611.4,347.0,5.18
Punjab,Ludhiana,2015.0,889.7,551.0,0.37
Karnataka,Raichur,2023.0,1181.3,807.5,1.39
Andhra Pradesh,Prakasam,2019.0,626.9,359.9,15.9
Karnataka,Raichur,2018.0,699.7,494.0,-24.9
Punjab,Ludhiana,2018.0,960.6,641.3,7.8
Punjab,Amritsar,2018.0,1067.5,628.9,-10.81
Karnataka,Belgaum,2016.0,1038.1,663.3,6.27
Punjab,Ludhiana,2018.0,629.7,365.0,13.76
Karnataka,Mandya,2015.0,929.0,526.0,12.02
Maharashtra,Nagpur,2016.0,763.3,453.6,-10.33
Telangana,Warangal,2023.0,958.7,654.8,13.25
Telangana,Adilabad,2019.0,836.1,499.8,3.64
Andhra Pradesh,Krishna,2016.0,1126.9,638.6,20.25
Punjab,Amritsar,2023.0,1159.7,738.0,5.01
Andhra Pradesh,Guntur,2017.0,712.3,407.6,24.46
Karnataka,Mandya,2022.0,1035.7,776.0,-10.46
Tamil Nadu,Coimbatore,2017.0,1199.7,765.6,3.53
Karnataka,Mandya,2020.0,600.3,438.9,-14.47
Andhra Pradesh,Prakasam,2022.0,845.1,562.2,-19.66
Maharashtra,Pune,2015.0,1151.9,836.1,-22.58
Punjab,Amritsar,2019.0,1181.4,827.3,-1.66
Maharashtra,Nagpur,2016.0,965.8,555.6,-20.13
Telangana,Adilabad,2022.0,757.5,420.3,-23.32
Telangana,Adilabad,2021.0,1025.3,635.4,18.05
Telangana,Nizamabad,2022.0,1195.6,714.2,-11.49
Maharashtra,Aurangabad,2016.0,1021.6,673.6,15.1
Punjab,Patiala,2016.0,1106.0,658.5,-22.63
Telangana,Warangal,2017.0,914.6,517.3,-17.05
Maharashtra,Nagpur,2022.0,1180.5,727.2,-19.34
Telangana,Nizamabad,2023.0,1154.0,806.4,-14.72
Karnataka,Mandya,2015.0,608.0,353.0,-2.97
Punjab,Ludhiana,2021.0,1047.6,717.3,2.85
Telangana,Nizamabad,2020.0,612.0,458.5,3.79
Punjab,Amritsar,2021.0,735.7,524.8,10.19
Punjab,Amritsar,2021.0,655.8,370.8,5.1
Punjab,Amritsar,2020.0,1129.6,836.4,-22.32
Maharashtra,Pune,2018.0,748.5,523.6,17.66
Punjab,Ludhiana,2018.0,808.7,604.6,-12.22
Maharashtra,Pune,2021.0,1021.7,587.6,-4.53
Karnataka,Belgaum,2021.0,551.7,337.0,-2.99
Andhra Pradesh,Krishna,2020.0,1196.5,738.3,-16.69
Telangana,Adilabad,2017.0,984.5,612.4,14.09
Punjab,Ludhiana,2020.0,702.3,449.5,-22.37
Punjab,Ludhiana,2022.0,558.2,401.0,22.99
Maharashtra,Nagpur,2018.0,703.0,492.2,0.58
Maharashtra,Nagpur,2016.0,576.0,322.1,-7.6
Punjab,Ludhiana,2020.0,629.6,357.9,13.61
Karnataka,Raichur,2020.0,696.0,408.4,-24.76
Punjab,Ludhiana,2019.0,649.6,440.3,5.55
Andhra Pradesh,Prakasam,2023.0,791.1,521.8,1.56
Tamil Nadu,Thanjavur,2020.0,869.1,608.1,19.62
Tamil Nadu,Madurai,2018.0,799.0,490.7,6.68
Maharashtra,Pune,2022.0,902.1,635.4,10.57
Punjab,Ludhiana,2020.0,1013.6,744.4,6.6
Karnataka,Mandya,2019.0,649.1,425.8,14.86
Punjab,Amritsar,2023.0,679.1,506.5,19.31
Tamil Nadu,Coimbatore,2015.0,1064.8,775.1,-2.34
Karnataka,Belgaum,2022.0,1148.5,806.9,-13.37
Tamil Nadu,Thanjavur,2020.0,871.0,573.7,-4.8
Maharashtra,Aurangabad,2019.0,761.2,435.0,22.71
Tamil Nadu,Thanjavur,2017.0,1062.4,672.0,-21.45
Karnataka,Raichur,2017.0,824.9,481.9,-3.04
Andhra Pradesh,Guntur,2015.0,1006.7,700.3,6.13
Punjab,Patiala,2021.0,633.4,357.7,13.32
Maharashtra,Pune,2022.0,538.9,318.4,-15.94
Tamil Nadu,Madurai,2018.0,763.4,453.7,6.56
Andhra Pradesh,Krishna,2019.0,1064.9,644.0,23.26
Tamil Nadu,Coimbatore,2017.0,997.0,714.1,7.83
Andhra Pradesh,Prakasam,2015.0,647.9,420.2,1.53
Andhra Pradesh,Krishna,2018.0,607.6,422.9,13.66
Tamil Nadu,Madurai,2019.0,527.9,391.7,-2.2
Telangana,Warangal,2018.0,1164.7,753.5,5.96
Andhra Pradesh,Prakasam,2019.0,788.5,506.0,-22.15
Maharashtra,Pune,2018.0,833.1,620.0,-19.72
Maharashtra,Aurangabad,2017.0,813.2,546.4,-0.48
Maharashtra,Nagpur,2016.0,530.2,394.4,6.86
Karnataka,Belgaum,2022.0,704.4,387.6,9.45
Andhra Pradesh,Guntur,2023.0,650.8,406.2,8.78
Maharashtra,Pune,2016.0,880.9,551.1,-24.84
Punjab,Ludhiana,2022.0,528.7,343.6,16.47
Andhra Pradesh,Guntur,2017.0,1025.2,591.0,-19.16
Karnataka,Belgaum,2023.0,1080.1,782.9,22.2
Andhra Pradesh,Krishna,2016.0,1091.4,608.1,21.14
Andhra Pradesh,Prakasam,2016.0,1013.8,672.4,14.49
Karnataka,Raichur,2016.0,503.6,315.5,-1.84
Tamil Nadu,Madurai,2022.0,1090.2,608.3,24.04
Punjab,Patiala,2019.0,555.5,393.5,22.01
Maharashtra,Nagpur,2017.0,891.0,622.6,-6.86
Tamil Nadu,Coimbatore,2019.0,1041.1,762.5,20.85
Punjab,Patiala,2021.0,585.1,374.0,-19.57
Maharashtra,Nagpur,2017.0,1068.9,642.0,-9.93
Tamil Nadu,Coimbatore,2020.0,728.8,542.5,10.31
Karnataka,Mandya,2016.0,1091.1,744.9,14.64
Punjab,Amritsar,2023.0,535.3,368.9,22.38
Tamil Nadu,Coimbatore,2015.0,1188.0,693.9,-17.92
Punjab,Patiala,2017.0,793.3,475.2,-6.26
Telangana,Warangal,2022.0,940.5,571.4,-2.87
Andhra Pradesh,Prakasam,2018.0,607.5,352.9,-4.97
Karnataka,Mandya,2017.0,510.0,291.3,1.2
Maharashtra,Pune,2022.0,696.1,455.0,-16.64
Tamil Nadu,Madurai,2022.0,888.2,577.2,-15.23
Andhra Pradesh,Guntur,2019.0,928.5,553.5,9.9
Maharashtra,Pune,2021.0,1106.9,776.5,-3.15
Tamil Nadu,Coimbatore,2015.0,942.9,697.2,10.45
Maharashtra,Aurangabad,2019.0,1091.0,730.6,20.35
Karnataka,Mandya,2019.0,1054.4,683.8,24.2
Punjab,Patiala,2020.0,1105.4,826.3,23.51
Karnataka,Raichur,2019.0,1013.0,741.4,-7.79
Maharashtra,Aurangabad,2016.0,671.6,478.9,6.66
Andhra Pradesh,Krishna,2018.0,678.3,436.2,12.32
Telangana,Nizamabad,2017.0,864.8,622.5,13.49
Telangana,Warangal,2022.0,1037.3,658.9,-8.98
Karnataka,Raichur,2019.0,589.7,425.9,13.42
Punjab,Amritsar,2019.0,739.9,447.7,-22.07
Karnataka,Mandya,2015.0,608.7,347.0,-9.99
Maharashtra,Pune,2020.0,1029.8,750.2,3.17
Punjab,Ludhiana,2023.0,1193.0,697.2,23.93
Telangana,Warangal,2019.0,1052.6,649.0,-12.77
Punjab,Amritsar,2021.0,860.3,501.0,-18.37
Tamil Nadu,Madurai,2021.0,1071.2,754.2,8.54
Punjab,Patiala,2017.0,965.2,718.7,23.89
Karnataka,Raichur,2023.0,500.5,295.5,15.47
Maharashtra,Aurangabad,2021.0,551.3,370.6,20.01
Karnataka,Belgaum,2022.0,1179.6,672.2,-9.46
Andhra Pradesh,Guntur,2016.0,749.3,527.8,-19.6
Maharashtra,Nagpur,2018.0,548.4,328.3,-11.33
Tamil Nadu,Thanjavur,2016.0,750.7,482.3,11.12
Maharashtra,Pune,2015.0,903.8,508.7,-14.9
Tamil Nadu,Coimbatore,2020.0,515.9,375.3,16.01
Tamil Nadu,Thanjavur,2016.0,1110.2,692.9,-23.08
Tamil Nadu,Madurai,2016.0,543.5,369.0,17.75
Punjab,Ludhiana,2015.0,524.8,336.9,-13.74
Andhra Pradesh,Prakasam,2021.0,735.1,487.5,-17.7
Karnataka,Belgaum,2018.0,887.5,636.2,1.31
Maharashtra,Nagpur,2017.0,1109.9,790.2,-4.14
Telangana,Nizamabad,2016.0,561.4,336.4,12.33
Maharashtra,Pune,2018.0,1101.7,716.8,17.66
Maharashtra,Nagpur,2019.0,576.1,414.9,23.24
Maharashtra,Aurangabad,2019.0,593.8,352.8,14.71
Karnataka,Belgaum,2021.0,1122.0,680.2,-15.06
Karnataka,Mandya,2023.0,1110.5,624.8,-0.14
Karnataka,Raichur,2017.0,983.4,683.7,16.66
Punjab,Ludhiana,2020.0,872.6,594.5,-12.02
Tamil Nadu,Madurai,2019.0,842.0,519.7,14.82
Tamil Nadu,Coimbatore,2017.0,956.2,589.7,5.36
Tamil Nadu,Madurai,2023.0,625.0,459.5,-10.61
Punjab,Patiala,2019.0,518.5,352.7,-11.02
Andhra Pradesh,Guntur,2015.0,578.9,392.1,5.55
Andhra Pradesh,Guntur,2022.0,811.9,498.8,-11.01
Telangana,Nizamabad,2015.0,1004.9,641.2,6.0
Maharashtra,Pune,2017.0,1183.5,753.0,-16.16
Telangana,Warangal,2020.0,1060.8,780.0,11.55
Andhra Pradesh,Guntur,2017.0,958.0,668.3,22.12
Tamil Nadu,Coimbatore,2017.0,1106.4,690.2,9.66
Maharashtra,Pune,2018.0,573.9,409.4,-17.09
Punjab,Patiala,2022.0,1064.7,611.8,24.99
Karnataka,Mandya,2016.0,811.4,466.1,-13.12
Telangana,Adilabad,2023.0,637.3,368.6,-10.3
Tamil Nadu,Madurai,2017.0,587.0,333.0,-3.56
Punjab,Amritsar,2018.0,887.2,645.2,-1.22
Maharashtra,Nagpur,2018.0,726.6,499.0,5.43
Punjab,Patiala,2023.0,976.6,553.5,-22.18
Punjab,Amritsar,2023.0,1127.6,795.2,-16.29
Maharashtra,Nagpur,2022.0,649.0,412.1,-10.97
Karnataka,Mandya,2016.0,801.3,563.7,-24.99
Tamil Nadu,Madurai,2017.0,1153.3,731.4,1.68
Karnataka,Raichur,2022.0,890.8,517.2,9.73
Maharashtra,Pune,2016.0,720.1,453.2,-3.01
Telangana,Warangal,2022.0,1102.9,771.7,-7.31
Maharashtra,Pune,2016.0,978.8,663.9,24.84
Tamil Nadu,Coimbatore,2021.0,862.6,572.0,-11.24
Andhra Pradesh,Krishna,2019.0,1075.1,642.2,-20.03
Andhra Pradesh,Guntur,2020.0,767.1,519.7,2.1
Punjab,Ludhiana,2017.0,770.8,553.9,-20.03
Andhra Pradesh,Krishna,2015.0,1001.0,700.7,-4.56
Telangana,Warangal,2020.0,1017.8,671.7,18.35
Telangana,Nizamabad,2016.0,799.3,496.2,-20.34
Karnataka,Mandya,2022.0,1014.3,606.6,6.01
Maharashtra,Nagpur,2019.0,857.8,588.7,22.66
Punjab,Ludhiana,2015.0,502.8,341.5,14.13
Karnataka,Belgaum,2022.0,828.2,503.7,7.41
Punjab,Amritsar,2020.0,1107.5,720.2,-20.15
Telangana,Warangal,2017.0,1120.0,665.7,14.26
Telangana,Nizamabad,2021.0,637.8,393.2,11.73
Maharashtra,Aurangabad,2023.0,1069.5,674.6,-22.21
Andhra Pradesh,Guntur,2020.0,516.3,358.2,-5.91
Maharashtra,Nagpur,2021.0,902.9,618.3,-24.04
Punjab,Patiala,2017.0,798.6,590.7,-3.96
Tamil Nadu,Coimbatore,2020.0,742.3,534.1,-14.54
Maharashtra,Pune,2022.0,689.8,394.2,10.46
Andhra Pradesh,Guntur,2019.0,509.8,357.1,-12.0
Tamil Nadu,Coimbatore,2023.0,698.5,502.1,-9.08
Maharashtra,Nagpur,2015.0,503.7,283.8,8.0
Telangana,Warangal,2023.0,841.8,528.2,-14.16
Tamil Nadu,Thanjavur,2018.0,997.6,664.7,7.05
Maharashtra,Nagpur,2016.0,854.2,568.2,-13.98
Andhra Pradesh,Prakasam,2023.0,834.5,559.8,-20.18
Punjab,Ludhiana,2016.0,1093.4,810.2,-1.73
Punjab,Amritsar,2021.0,1021.1,582.5,-23.4
Tamil Nadu,Coimbatore,2022.0,978.6,600.7,-18.74
Maharashtra,Nagpur,2019.0,918.0,520.8,-18.57
Tamil Nadu,Madurai,2018.0,617.6,352.9,14.8
Maharashtra,Pune,2020.0,1055.5,597.5,22.41
Telangana,Warangal,2018.0,558.4,375.7,15.19
Punjab,Patiala,2018.0,581.0,357.4,10.66
Karnataka,Belgaum,2021.0,1060.1,749.2,-7.77
Tamil Nadu,Thanjavur,2022.0,796.2,496.8,-20.36
Tamil Nadu,Thanjavur,2020.0,806.1,584.8,6.3
Punjab,Ludhiana,2021.0,650.1,371.8,-16.52
Andhra Pradesh,Krishna,2019.0,874.4,514.9,-16.39
Andhra Pradesh,Prakasam,2018.0,701.1,418.5,-8.31
Telangana,Warangal,2019.0,781.6,541.4,-9.44
Tamil Nadu,Coimbatore,2023.0,808.7,516.9,7.29
Punjab,Amritsar,2020.0,713.2,428.3,-17.88
Tamil Nadu,Coimbatore,2018.0,930.4,615.5,-16.16
Telangana,Adilabad,2020.0,857.1,632.4,22.92
Punjab,Ludhiana,2020.0,540.7,380.6,-7.98
Telangana,Adilabad,2021.0,761.4,501.8,8.14
Punjab,Patiala,2021.0,933.8,685.4,9.49
Telangana,Nizamabad,2022.0,1052.4,640.5,19.23
Andhra Pradesh,Guntur,2019.0,560.7,346.5,-13.08
Tamil Nadu,Madurai,2018.0,684.5,490.3,-23.72
Punjab,Amritsar,2017.0,927.6,644.7,23.72
Maharashtra,Pune,2021.0,756.7,531.9,22.46
Andhra Pradesh,Krishna,2022.0,942.2,681.6,19.6
Telangana,Warangal,2021.0,808.4,554.6,-2.29
Punjab,Ludhiana,2015.0,1103.6,804.7,9.19
Punjab,Ludhiana,2022.0,1131.4,791.8,13.1
Tamil Nadu,Thanjavur,2015.0,1131.5,671.6,20.86
Punjab,Ludhiana,2018.0,734.7,515.1,-15.84
Karnataka,Raichur,2016.0,1143.7,740.1,9.37
Telangana,Warangal,2018.0,555.8,306.9,-5.13
Punjab,Amritsar,2020.0,567.5,419.5,21.6
Maharashtra,Aurangabad,2023.0,848.9,620.7,6.11
Tamil Nadu,Madurai,2023.0,1191.6,738.7,0.03
Karnataka,Raichur,2022.0,933.5,677.6,-1.74
Tamil Nadu,Coimbatore,2016.0,569.3,412.6,-20.67
Tamil Nadu,Coimbatore,2021.0,546.9,395.7,-22.29
Maharashtra,Aurangabad,2017.0,1059.9,718.3,3.55
Punjab,Ludhiana,2015.0,877.2,596.4,17.79
Karnataka,Mandya,2017.0,1033.3,706.9,23.11
Maharashtra,Aurangabad,2021.0,879.4,599.8,5.32
Tamil Nadu,Coimbatore,2017.0,512.4,305.3,22.1
Punjab,Ludhiana,2018.0,1197.2,868.7,20.79
Punjab,Ludhiana,2016.0,690.8,403.2,11.72
Maharashtra,Pune,2016.0,1198.9,712.9,-8.13
Tamil Nadu,Coimbatore,2020.0,833.5,467.3,10.6
Karnataka,Raichur,2021.0,1104.0,622.8,-23.49
Punjab,Patiala,2017.0,1028.6,687.2,-22.31
Punjab,Ludhiana,2023.0,1169.8,770.4,-5.08
Telangana,Nizamabad,2022.0,787.8,492.7,-19.32
Karnataka,Mandya,2020.0,710.0,436.1,12.53
Punjab,Patiala,2018.0,1191.0,683.8,12.05
Karnataka,Raichur,2018.0,978.8,597.9,16.16
Karnataka,Raichur,2020.0,671.5,494.2,-16.09
Andhra Pradesh,Guntur,2023.0,1036.2,689.5,-22.87
Andhra Pradesh,Guntur,2017.0,695.8,518.7,-2.44
Telangana,Adilabad,2019.0,628.3,376.2,-0.45
Telangana,Warangal,2016.0,643.2,458.9,-17.54
Andhra Pradesh,Krishna,2022.0,586.7,382.8,19.93
Maharashtra,Nagpur,2016.0,1031.8,729.2,-1.55
Karnataka,Raichur,2019.0,1009.3,749.3,7.09
Telangana,Warangal,2015.0,1071.0,695.1,-0.21
Punjab,Patiala,2017.0,556.6,344.1,-20.66
Maharashtra,Pune,2015.0,1012.4,656.1,3.37
Telangana,Warangal,2018.0,600.6,412.9,8.12
Karnataka,Belgaum,2021.0,1071.5,722.7,-4.01
Karnataka,Raichur,2020.0,564.4,355.2,-16.42
Andhra Pradesh,Krishna,2020.0,839.0,627.4,-9.18
Karnataka,Raichur,2021.0,1045.2,666.0,16.79
Telangana,Adilabad,2023.0,760.4,532.4,-1.88
Karnataka,Belgaum,2016.0,624.6,415.4,3.54
Telangana,Nizamabad,2016.0,844.9,586.6,-1.09
Karnataka,Belgaum,2015.0,501.0,292.7,-3.07
Maharashtra,Nagpur,2019.0,714.3,419.0,0.29
Punjab,Ludhiana,2015.0,989.6,546.4,5.32
Maharashtra,Aurangabad,2015.0,794.0,561.1,-10.66
Punjab,Patiala,2019.0,1016.5,576.9,13.14
Tamil Nadu,Coimbatore,2023.0,951.9,680.4,-9.8
Karnataka,Raichur,2022.0,987.9,662.3,-15.33
Telangana,Warangal,2018.0,1005.2,581.3,-6.1
Maharashtra,Aurangabad,2022.0,517.9,355.8,-1.48
Punjab,Patiala,2022.0,871.9,616.6,-10.65
Maharashtra,Aurangabad,2021.0,1120.8,664.5,4.0
Punjab,Patiala,2021.0,701.5,388.4,0.26
Telangana,Warangal,2017.0,621.3,463.3,-6.47
Punjab,Ludhiana,2017.0,614.5,386.3,12.62
Karnataka,Belgaum,2015.0,900.4,646.2,-9.24
Karnataka,Raichur,2022.0,662.7,402.5,3.51
Karnataka,Belgaum,2021.0,624.1,444.1,-12.34
Maharashtra,Pune,2015.0,641.0,423.8,15.27
Tamil Nadu,Thanjavur,2022.0,1173.3,659.6,-17.78
Punjab,Patiala,2023.0,973.9,619.1,-19.34
Maharashtra,Aurangabad,2018.0,918.5,659.1,5.63
Tamil Nadu,Thanjavur,2018.0,1029.1,692.1,-14.85
Tamil Nadu,Thanjavur,2018.0,868.9,620.2,2.7
Telangana,Nizamabad,2021.0,865.4,612.9,-17.52
Tamil Nadu,Thanjavur,2022.0,647.3,468.7,-3.32
Tamil Nadu,Thanjavur,2021.0,744.0,519.7,-12.53
Andhra Pradesh,Krishna,2018.0,835.9,622.7,-13.36
Karnataka,Belgaum,2017.0,579.8,388.9,-23.75
Tamil Nadu,Coimbatore,2021.0,521.3,307.3,-14.57
Punjab,Ludhiana,2020.0,540.3,339.8,-17.3
Karnataka,Mandya,2021.0,963.9,613.8,1.73
Andhra Pradesh,Krishna,2021.0,808.3,564.4,-2.79
Tamil Nadu,Coimbatore,2022.0,969.5,577.6,5.09
Andhra Pradesh,Prakasam,2016.0,1188.3,664.4,7.6
Maharashtra,Pune,2021.0,851.0,602.1,19.73
Telangana,Warangal,2015.0,753.1,518.5,-10.97
Karnataka,Belgaum,2017.0,1182.2,683.4,-19.13
Karnataka,Mandya,2018.0,606.0,452.6,9.65
Maharashtra,Nagpur,2021.0,745.1,488.5,-11.31
Tamil Nadu,Thanjavur,2023.0,1076.7,754.6,-20.95
Telangana,Nizamabad,2019.0,515.0,307.8,-6.78
Maharashtra,Nagpur,2019.0,827.0,595.2,4.97
Punjab,Amritsar,2017.0,1065.6,726.9,1.17
Andhra Pradesh,Guntur,2022.0,597.9,439.9,10.35
Telangana,Nizamabad,2020.0,867.3,628.5,-24.59
Tamil Nadu,Madurai,2023.0,800.1,584.0,21.64
Tamil Nadu,Thanjavur,2019.0,951.4,690.1,-9.35
Andhra Pradesh,Krishna,2016.0,1109.9,747.3,-9.48
Maharashtra,Aurangabad,2018.0,741.3,497.8,-6.26
Telangana,Adilabad,2020.0,664.4,416.1,-10.32
Tamil Nadu,Coimbatore,2016.0,1001.1,648.2,11.08
Tamil Nadu,Madurai,2022.0,819.6,475.3,-17.93
Maharashtra,Pune,2021.0,1011.3,573.3,24.5
Telangana,Warangal,2015.0,507.3,329.4,-18.21
Punjab,Patiala,2015.0,1099.2,709.3,-4.03
Tamil Nadu,Coimbatore,2021.0,985.7,590.1,1.88
Andhra Pradesh,Krishna,2016.0,676.5,404.6,2.7
Karnataka,Raichur,2015.0,581.9,370.7,19.54
Andhra Pradesh,Guntur,2015.0,848.6,614.8,-22.27
Maharashtra,Aurangabad,2016.0,1165.6,726.4,19.23
Punjab,Patiala,2018.0,1106.6,806.4,-17.16
Telangana,Adilabad,2019.0,723.2,534.3,-8.06
Telangana,Warangal,2017.0,567.1,396.2,1.8
Tamil Nadu,Coimbatore,2019.0,1036.8,609.5,15.08
Tamil Nadu,Madurai,2020.0,959.2,702.1,-4.9
Tamil Nadu,Thanjavur,2018.0,1156.4,691.2,-21.04
Maharashtra,Aurangabad,2020.0,911.1,508.7,-24.34
Karnataka,Raichur,2021.0,918.4,635.2,-24.35
Maharashtra,Nagpur,2021.0,1132.4,770.2,-21.81
Telangana,Nizamabad,2022.0,703.9,486.4,0.12
Andhra Pradesh,Guntur,2022.0,1079.2,805.4,9.34
Tamil Nadu,Madurai,2018.0,1083.0,627.1,-11.23
Telangana,Nizamabad,2022.0,1122.4,798.1,4.15
Tamil Nadu,Madurai,2021.0,594.5,395.5,21.96
Andhra Pradesh,Prakasam,2017.0,886.7,497.7,-17.77
Tamil Nadu,Coimbatore,2015.0,724.3,523.6,2.98
Telangana,Nizamabad,2016.0,899.7,521.8,-4.58
Punjab,Patiala,2023.0,747.7,560.6,3.36
Punjab,Amritsar,2023.0,547.6,407.8,-11.38
Andhra Pradesh,Prakasam,2018.0,880.5,649.9,-3.61
Punjab,Amritsar,2016.0,935.5,549.5,-0.02
Andhra Pradesh,Prakasam,2020.0,677.4,434.5,1.47
Andhra Pradesh,Krishna,2021.0,766.4,456.0,17.9
Karnataka,Mandya,2020.0,774.7,427.1,7.44
Punjab,Amritsar,2021.0,1110.1,690.6,17.95
Telangana,Nizamabad,2018.0,1141.9,640.1,-5.26
Punjab,Amritsar,2021.0,1085.4,780.7,16.5
Andhra Pradesh,Krishna,2015.0,1084.1,781.1,7.2
Karnataka,Belgaum,2021.0,730.9,480.6,3.72
Maharashtra,Aurangabad,2018.0,908.5,668.1,-9.58
Punjab,Ludhiana,2022.0,606.4,402.3,4.68
Karnataka,Mandya,2020.0,1108.7,628.1,14.54
Tamil Nadu,Madurai,2021.0,1065.6,590.0,-18.76
Telangana,Adilabad,2021.0,1134.6,685.7,-21.44
Punjab,Ludhiana,2019.0,972.9,579.4,-20.97
Andhra Pradesh,Prakasam,2015.0,591.5,402.0,13.1
Telangana,Warangal,2022.0,815.0,610.0,21.59
Andhra Pradesh,Guntur,2018.0,505.2,369.4,1.86
Andhra Pradesh,Krishna,2020.0,1184.8,710.9,1.7
Andhra Pradesh,Guntur,2019.0,770.1,546.8,11.89
Telangana,Nizamabad,2022.0,685.0,397.8,-6.78
Punjab,Amritsar,2023.0,774.9,544.0,-23.3
Karnataka,Belgaum,2023.0,528.5,295.9,-6.98
Tamil Nadu,Madurai,2020.0,1144.5,789.6,-14.24
