State,District,Crop_Year,Crop,Nitrogen_kg_ha,Phosphorus_kg_ha,Potassium_kg_ha,Fertilizer_Type,Fertilizer_Used_kg_per_ha
Andhra Pradesh,Prakasam,2016.0,Sugarcane,114.9,73.2,38.0,,
Tamil Nadu,Madurai,2018.0,Wheat,114.5,85.1,48.6,,
Tamil Nadu,Thanjavur,2015.0,Maize,53.8,84.5,84.4,,
Punjab,Amritsar,2020.0,Groundnut,167.3,76.2,69.1,,
Punjab,Amritsar,2016.0,Pulses,122.6,73.8,52.1,,
Punjab,Ludhiana,2016.0,Rice,61.1,88.1,43.7,,
Maharashtra,Nagpur,2021.0,Groundnut,113.5,67.3,44.1,,
Karnataka,Belgaum,2021.0,Pulses,171.6,22.5,68.0,,
Telangana,Adilabad,2018.0,Maize,177.9,55.4,78.3,,
Punjab,Ludhiana,2019.0,Wheat,156.9,33.5,65.5,,
Karnataka,Belgaum,2018.0,Sugarcane,91.6,75.8,72.6,,
Maharashtra,Pune,2021.0,Cotton,110.6,83.9,26.9,,
Karnataka,Raichur,2016.0,Cotton,129.8,30.6,77.0,,
Punjab,Amritsar,2022.0,Sugarcane,127.6,43.2,22.7,,
Karnataka,Mandya,2019.0,Wheat,114.9,80.9,21.4,,
Telangana,Nizamabad,2022.0,Cotton,160.2,80.5,21.4,,
Karnataka,Belgaum,2019.0,Cotton,89.0,80.1,54.0,,
Tamil Nadu,Thanjavur,2021.0,Soybean,45.4,32.4,40.0,,
Maharashtra,Pune,2016.0,Groundnut,74.0,21.4,68.4,,
Andhra Pradesh,Prakasam,2018.0,Pulses,110.9,33.8,29.5,,
Punjab,Patiala,2019.0,Maize,60.6,20.7,55.6,,
Andhra Pradesh,Prakasam,2023.0,Maize,130.4,80.6,59.5,,
Tamil Nadu,Coimbatore,2015.0,Maize,80.0,78.4,50.3,,
Karnataka,Mandya,2018.0,Rice,157.2,46.8,35.2,,
Punjab,Ludhiana,2015.0,Soybean,179.1,28.1,45.9,,
Tamil Nadu,Thanjavur,2023.0,Sugarcane,114.5,51.8,20.1,,
Andhra Pradesh,Krishna,2023.0,Maize,159.8,63.7,24.2,,
Maharashtra,Aurangabad,2020.0,Cotton,125.7,87.9,62.3,,
Tamil Nadu,Thanjavur,2015.0,Sugarcane,169.6,45.7,30.0,,
Andhra Pradesh,Guntur,2018.0,Sugarcane,154.6,28.0,89.3,,
Karnataka,Belgaum,2019.0,Maize,42.0,63.5,71.5,,
Punjab,Amritsar,2015.0,Sugarcane,146.9,25.2,89.0,,
Punjab,Amritsar,2015.0,Wheat,159.0,67.6,74.6,,
Tamil Nadu,Thanjavur,2020.0,Soybean,52.5,80.6,33.4,,
Tamil Nadu,Madurai,2023.0,Soybean,153.0,28.2,26.8,,
Telangana,Warangal,2023.0,Maize,49.4,46.3,55.5,,
Tamil Nadu,Madurai,2021.0,Rice,71.0,70.4,41.4,,
Telangana,Adilabad,2023.0,Maize,142.4,77.0,84.6,,
Punjab,Patiala,2019.0,Maize,72.7,52.4,31.5,,
Tamil Nadu,Coimbatore,2019.0,Wheat,157.9,45.4,46.2,,
Andhra Pradesh,Krishna,2018.0,Soybean,132.7,65.8,89.4,,
Telangana,Adilabad,2018.0,Wheat,91.0,58.0,70.2,,
Karnataka,Raichur,2016.0,Rice,79.9,28.8,65.9,,
Punjab,Amritsar,2022.0,Pulses,112.4,62.6,38.2,,
Punjab,Amritsar,2022.0,Cotton,71.0,47.3,43.9,,
Maharashtra,Nagpur,2015.0,Sugarcane,78.2,59.7,20.3,,
Karnataka,Belgaum,2017.0,Maize,94.0,70.5,87.8,,
Karnataka,Mandya,2016.0,Wheat,71.6,47.5,70.8,,
Telangana,Nizamabad,2015.0,Cotton,140.4,38.4,87.0,,
Andhra Pradesh,Krishna,2019.0,Wheat,43.0,66.0,32.8,,
Telangana,Warangal,2021.0,Cotton,177.8,58.0,72.4,,
Punjab,Patiala,2020.0,Soybean,89.1,68.3,62.4,,
Andhra Pradesh,Krishna,2022.0,Cotton,123.7,87.9,26.0,,
Maharashtra,Pune,2018.0,Maize,121.2,69.1,72.3,,
Telangana,Adilabad,2020.0,Soybean,133.9,33.2,59.2,,
Punjab,Amritsar,2017.0,Cotton,152.1,46.4,67.0,,
Tamil Nadu,Thanjavur,2020.0,Sugarcane,120.8,85.1,47.2,,
Tamil Nadu,Madurai,2018.0,Cotton,171.9,58.5,42.5,,
Andhra Pradesh,Krishna,2017.0,Rice,152.5,36.3,36.7,,
Andhra Pradesh,Prakasam,2021.0,Cotton,121.4,67.4,34.9,,
Tamil Nadu,Madurai,2023.0,Cotton,85.4,67.1,66.9,,
Punjab,Amritsar,2015.0,Rice,68.9,67.3,33.6,,
Karnataka,Mandya,2022.0,Cotton,139.6,86.3,38.4,,
Maharashtra,Aurangabad,2020.0,Soybean,176.8,51.1,29.1,,
Maharashtra,Aurangabad,2019.0,Cotton,45.9,85.4,28.2,,
Punjab,Ludhiana,2018.0,Cotton,77.7,27.6,35.2,,
Tamil Nadu,Madurai,2020.0,Groundnut,56.6,45.5,76.5,,
Tamil Nadu,Coimbatore,2018.0,Sugarcane,84.2,87.2,30.0,,
Karnataka,Raichur,2016.0,Rice,97.2,34.1,53.7,,
Andhra Pradesh,Krishna,2020.0,Sugarcane,111.8,53.4,80.9,,
Maharashtra,Pune,2019.0,Pulses,155.4,50.2,56.2,,
Maharashtra,Pune,2022.0,Soybean,93.4,29.7,48.7,,
Maharashtra,Aurangabad,2015.0,Rice,155.1,34.6,75.7,,
Karnataka,Belgaum,2019.0,Pulses,68.5,58.8,41.6,,
Telangana,Nizamabad,2023.0,Rice,67.6,69.5,64.1,,
Maharashtra,Pune,2023.0,Sugarcane,79.9,49.9,74.6,,
Maharashtra,Aurangabad,2016.0,Cotton,101.6,55.0,71.0,,
Maharashtra,Pune,2021.0,Wheat,174.0,40.1,82.4,,
Karnataka,Mandya,2019.0,Groundnut,129.3,20.7,72.3,,
Punjab,Amritsar,2020.0,Wheat,76.9,55.4,88.4,,
Punjab,Patiala,2021.0,Wheat,48.6,71.6,75.6,,
Maharashtra,Aurangabad,2022.0,Pulses,137.3,59.2,47.6,,
Tamil Nadu,Madurai,2020.0,Soybean,165.2,32.1,72.4,,
Tamil Nadu,Thanjavur,2023.0,Groundnut,51.4,54.7,24.6,,
Punjab,Ludhiana,2021.0,Cotton,159.2,44.2,77.0,,
Punjab,Patiala,2018.0,Wheat,93.7,34.4,81.3,,
Andhra Pradesh,Krishna,2019.0,Soybean,157.3,85.7,70.1,,
Karnataka,Raichur,2016.0,Wheat,85.4,32.5,22.3,,
Tamil Nadu,Madurai,2018.0,Wheat,148.6,54.3,65.3,,
Punjab,Amritsar,2020.0,Rice,84.5,29.9,56.5,,
Tamil Nadu,Madurai,2016.0,Soybean,101.4,39.6,36.0,,
Telangana,Nizamabad,2015.0,Rice,86.4,35.4,38.8,,
Tamil Nadu,Thanjavur,2023.0,Sugarcane,59.7,77.7,37.9,,
Maharashtra,Nagpur,2019.0,Maize,149.7,51.1,80.1,,
Andhra Pradesh,Krishna,2016.0,Cotton,88.3,61.6,57.9,,
Maharashtra,Aurangabad,2023.0,Groundnut,52.1,20.3,47.0,,
Tamil Nadu,Madurai,2020.0,Rice,91.0,74.7,69.2,,
Punjab,Patiala,2019.0,Wheat,173.6,65.8,34.0,,
Punjab,Patiala,2021.0,Maize,86.3,76.4,32.4,,
Telangana,Adilabad,2017.0,Groundnut,140.9,25.8,46.3,,
Punjab,Patiala,2022.0,Soybean,125.9,72.4,34.1,,
Tamil Nadu,Thanjavur,2021.0,Pulses,98.7,29.2,22.5,,
Telangana,Adilabad,2015.0,Groundnut,106.7,87.8,89.7,,
Telangana,Nizamabad,2016.0,Soybean,86.6,26.7,30.5,,
Telangana,Adilabad,2019.0,Maize,163.5,50.1,22.9,,
Tamil Nadu,Thanjavur,2023.0,Maize,124.1,43.2,27.1,,
Karnataka,Mandya,2015.0,Pulses,84.5,64.5,20.3,,
Maharashtra,Nagpur,2016.0,Wheat,156.3,57.3,47.1,,
Andhra Pradesh,Prakasam,2019.0,Pulses,55.0,57.7,80.0,,
Tamil Nadu,Thanjavur,2021.0,Groundnut,170.2,83.5,67.8,,
Andhra Pradesh,Prakasam,2015.0,Rice,65.6,54.9,64.5,,
Punjab,Amritsar,2023.0,Rice,164.6,67.9,81.5,,
Andhra Pradesh,Guntur,2023.0,Wheat,65.6,46.9,35.7,,
Tamil Nadu,Madurai,2023.0,Soybean,114.9,67.1,77.5,,
Maharashtra,Aurangabad,2017.0,Cotton,163.8,54.7,23.7,,
Karnataka,Raichur,2016.0,Groundnut,55.4,85.0,48.7,,
Karnataka,Raichur,2016.0,Wheat,55.7,64.1,53.9,,
Punjab,Patiala,2018.0,Rice,176.8,80.9,55.8,,
Tamil Nadu,Thanjavur,2016.0,Sugarcane,98.7,48.1,27.7,,
Andhra Pradesh,Prakasam,2016.0,Groundnut,94.5,71.4,52.9,,
Punjab,Ludhiana,2018.0,Groundnut,82.0,78.6,81.3,,
Punjab,Amritsar,2015.0,Maize,96.3,71.9,49.4,,
Tamil Nadu,Thanjavur,2015.0,Cotton,49.5,71.5,84.9,,
Punjab,Patiala,2021.0,Groundnut,88.4,48.8,73.6,,
Andhra Pradesh,Guntur,2019.0,Maize,62.7,69.6,34.6,,
Karnataka,Raichur,2018.0,Wheat,154.0,34.2,31.1,,
Maharashtra,Aurangabad,2023.0,Cotton,177.0,43.0,44.9,,
Maharashtra,Pune,2023.0,Maize,53.1,33.4,34.9,,
Maharashtra,Nagpur,2016.0,Groundnut,86.2,86.5,81.1,,
Telangana,Warangal,2017.0,Cotton,91.4,28.5,49.5,,
Punjab,Amritsar,2022.0,Sugarcane,118.3,68.7,51.0,,
Tamil Nadu,Coimbatore,2016.0,Sugarcane,44.6,81.6,75.4,,
Karnataka,Mandya,2015.0,Soybean,101.6,88.2,30.6,,
Tamil Nadu,Madurai,2018.0,Sugarcane,141.7,57.0,68.6,,
Maharashtra,Pune,2016.0,Soybean,101.9,49.6,51.8,,
Maharashtra,Pune,2019.0,Wheat,150.3,30.6,57.3,,
Punjab,Patiala,2022.0,Rice,76.4,40.7,28.2,,
Karnataka,Mandya,2019.0,Cotton,77.4,79.5,82.0,,
Telangana,Warangal,2016.0,Soybean,69.4,86.5,66.4,,
Andhra Pradesh,Guntur,2016.0,Rice,97.4,30.3,20.9,,
Punjab,Patiala,2019.0,Sugarcane,146.3,29.0,45.8,,
Telangana,Nizamabad,2019.0,Soybean,71.1,44.2,85.5,,
Punjab,Patiala,2021.0,Cotton,42.0,44.0,47.0,,
Andhra Pradesh,Guntur,2018.0,Pulses,123.2,48.7,62.0,,
Karnataka,Belgaum,2021.0,Groundnut,171.8,63.8,43.9,,
Tamil Nadu,Thanjavur,2020.0,Maize,148.6,40.6,50.5,,
Telangana,Nizamabad,2018.0,Pulses,74.5,20.3,88.5,,
Tamil Nadu,Coimbatore,2016.0,Maize,61.1,45.0,71.5,,
Karnataka,Belgaum,2022.0,Rice,94.6,70.8,41.4,,
Karnataka,Raichur,2018.0,Wheat,115.5,74.2,74.8,,
Karnataka,Raichur,2015.0,Rice,91.6,32.3,26.4,,
Maharashtra,Nagpur,2016.0,Sugarcane,147.5,48.1,72.2,,
Andhra Pradesh,Guntur,2020.0,Rice,159.4,68.9,70.7,,
Maharashtra,Aurangabad,2017.0,Soybean,57.6,69.9,50.2,,
Punjab,Amritsar,2023.0,Rice,168.2,35.0,44.0,,
Maharashtra,Pune,2015.0,Cotton,114.5,80.3,22.2,,
Punjab,Amritsar,2021.0,Soybean,67.1,26.2,70.3,,
Andhra Pradesh,Guntur,2017.0,Soybean,149.4,65.5,22.9,,
Andhra Pradesh,Guntur,2016.0,Cotton,52.6,44.8,34.8,,
Maharashtra,Pune,2016.0,Rice,154.7,45.9,29.6,,
Andhra Pradesh,Guntur,2019.0,Wheat,100.1,88.4,21.8,,
Karnataka,Raichur,2020.0,Soybean,168.4,71.9,52.7,,
Tamil Nadu,Madurai,2015.0,Soybean,124.6,88.0,68.6,,
Tamil Nadu,Thanjavur,2017.0,Cotton,50.7,79.6,64.4,,
Telangana,Nizamabad,2021.0,Cotton,145.1,64.6,28.2,,
Punjab,Patiala,2018.0,Sugarcane,50.4,87.3,50.6,,
Punjab,Patiala,2020.0,Cotton,172.2,35.9,89.4,,
Karnataka,Mandya,2018.0,Pulses,168.5,85.7,42.2,,
Maharashtra,Nagpur,2021.0,Pulses,44.6,24.8,29.6,,
Punjab,Amritsar,2021.0,Cotton,64.6,57.4,21.5,,
Karnataka,Raichur,2021.0,Sugarcane,61.0,56.2,57.7,,
Punjab,Ludhiana,2016.0,Groundnut,123.8,85.2,51.1,,
Telangana,Adilabad,2018.0,Cotton,174.1,59.0,88.5,,
Maharashtra,Aurangabad,2015.0,Cotton,86.7,41.9,66.1,,
Karnataka,Raichur,2015.0,Cotton,51.5,53.4,59.2,,
Punjab,Ludhiana,2015.0,Cotton,110.3,39.5,53.3,,
Punjab,Amritsar,2023.0,Maize,40.9,30.8,58.1,,
Andhra Pradesh,Prakasam,2021.0,Cotton,72.2,59.5,52.1,,
Tamil Nadu,Coimbatore,2020.0,Pulses,157.1,80.6,36.8,,
Punjab,Ludhiana,2020.0,Groundnut,158.0,75.0,78.9,,
Maharashtra,Pune,2019.0,Groundnut,42.9,78.0,53.5,,
Karnataka,Mandya,2021.0,Cotton,175.5,71.7,36.7,,
Andhra Pradesh,Krishna,2021.0,Wheat,139.7,81.0,67.9,,
Andhra Pradesh,Prakasam,2022.0,Sugarcane,112.9,63.0,80.9,,
Maharashtra,Aurangabad,2020.0,Sugarcane,129.6,64.2,66.6,,
Punjab,Ludhiana,2017.0,Cotton,40.0,37.1,71.5,,
Punjab,Ludhiana,2016.0,Sugarcane,158.0,42.0,85.8,,
Punjab,Ludhiana,2018.0,Cotton,122.6,45.7,56.3,,
Punjab,Amritsar,2023.0,Soybean,95.0,21.0,24.9,,
Andhra Pradesh,Prakasam,2020.0,Pulses,48.9,50.8,64.5,,
Tamil Nadu,Thanjavur,2016.0,Cotton,57.4,60.6,37.5,,
Tamil Nadu,Madurai,2017.0,Pulses,145.7,78.5,30.2,,
Karnataka,Raichur,2018.0,Wheat,173.5,82.9,37.1,,
Punjab,Amritsar,2018.0,Maize,175.6,39.8,49.4,,
Tamil Nadu,Madurai,2021.0,Soybean,108.6,71.8,34.6,,
Punjab,Patiala,2015.0,Rice,79.3,65.5,65.5,,
Punjab,Amritsar,2022.0,Rice,54.5,59.9,23.3,,
Andhra Pradesh,Krishna,2015.0,Cotton,178.8,45.0,58.2,,
Telangana,Adilabad,2023.0,Pulses,90.8,24.4,33.4,,
Andhra Pradesh,Krishna,2023.0,Sugarcane,99.9,81.9,54.4,,
Karnataka,Belgaum,2015.0,Rice,160.4,31.9,22.6,,
Karnataka,Belgaum,2020.0,Cotton,119.6,60.4,32.2,,
Telangana,Adilabad,2021.0,Maize,114.3,31.0,59.3,,
Karnataka,Belgaum,2022.0,Pulses,164.1,45.0,50.4,,
Tamil Nadu,Thanjavur,2019.0,Groundnut,179.5,25.8,51.3,,
Punjab,Patiala,2020.0,Sugarcane,70.0,89.2,67.0,,
Karnataka,Mandya,2016.0,Soybean,113.5,62.2,72.1,,
Maharashtra,Nagpur,2022.0,Soybean,165.8,84.5,20.4,,
Telangana,Nizamabad,2020.0,Sugarcane,162.8,30.4,86.3,,
Punjab,Patiala,2022.0,Groundnut,109.1,29.4,77.9,,
Telangana,Nizamabad,2017.0,Groundnut,161.4,63.6,53.5,,
Andhra Pradesh,Prakasam,2018.0,Soybean,154.4,80.3,75.9,,
Karnataka,Belgaum,2017.0,Pulses,153.4,27.8,38.3,,
Tamil Nadu,Madurai,2015.0,Cotton,76.4,22.7,58.6,,
Punjab,Ludhiana,2022.0,Soybean,82.1,45.8,67.1,,
Karnataka,Belgaum,2020.0,Cotton,160.7,75.4,34.8,,
Tamil Nadu,Coimbatore,2016.0,Rice,179.8,52.9,61.8,,
Andhra Pradesh,Krishna,2018.0,Wheat,78.4,80.0,61.1,,
Punjab,Patiala,2020.0,Rice,52.3,25.2,46.1,,
Tamil Nadu,Thanjavur,2023.0,Soybean,125.2,27.2,31.4,,
Telangana,Nizamabad,2022.0,Groundnut,66.7,52.3,67.3,,
Telangana,Nizamabad,2022.0,Groundnut,69.1,50.7,54.0,,
Maharashtra,Pune,2017.0,Soybean,41.8,50.6,78.9,,
Karnataka,Mandya,2021.0,Groundnut,92.7,56.4,27.5,,
Tamil Nadu,Madurai,2015.0,Sugarcane,85.2,45.1,35.0,,
Karnataka,Belgaum,2015.0,Rice,160.7,51.2,66.2,,
Punjab,Patiala,2018.0,Sugarcane,56.2,65.3,67.6,,
Telangana,Adilabad,2016.0,Maize,46.4,58.9,53.1,,
Tamil Nadu,Madurai,2019.0,Wheat,112.8,78.2,32.3,,
Karnataka,Belgaum,2016.0,Soybean,52.7,84.5,56.1,,
Tamil Nadu,Madurai,2016.0,Sugarcane,65.4,41.1,85.5,,
Karnataka,Belgaum,2019.0,Soybean,114.5,73.4,57.0,,
Tamil Nadu,Coimbatore,2018.0,Cotton,48.4,51.5,32.1,,
Andhra Pradesh,Prakasam,2017.0,Rice,74.2,32.6,34.0,,
Karnataka,Raichur,2022.0,Wheat,178.4,41.1,79.5,,
Maharashtra,Pune,2019.0,Wheat,93.1,23.8,20.4,,
Karnataka,Belgaum,2018.0,Soybean,92.0,55.4,45.0,,
Andhra Pradesh,Guntur,2016.0,Rice,53.4,65.9,49.0,,
Tamil Nadu,Madurai,2022.0,Groundnut,159.0,37.9,37.3,,
Telangana,Nizamabad,2016.0,Sugarcane,127.2,77.3,50.5,,
Tamil Nadu,Madurai,2023.0,Sugarcane,103.3,63.1,65.0,,
Punjab,Patiala,2019.0,Cotton,123.8,28.6,86.2,,
Maharashtra,Nagpur,2019.0,Cotton,61.5,68.6,66.4,,
Tamil Nadu,Thanjavur,2021.0,Sugarcane,151.7,57.2,42.9,,
Karnataka,Mandya,2020.0,Wheat,86.1,86.1,82.8,,
Karnataka,Mandya,2018.0,Maize,164.8,53.0,61.6,,
Tamil Nadu,Thanjavur,2020.0,Wheat,64.8,26.0,32.3,,
Telangana,Nizamabad,2018.0,Soybean,109.5,76.6,38.7,,
Punjab,Patiala,2022.0,Wheat,89.2,65.9,81.3,,
Maharashtra,Aurangabad,2016.0,Pulses,50.6,75.4,35.4,,
Maharashtra,Nagpur,2020.0,Maize,69.9,74.0,42.3,,
Telangana,Adilabad,2017.0,Groundnut,85.5,78.0,74.6,,
Telangana,Warangal,2023.0,Wheat,73.8,43.5,80.8,,
Andhra Pradesh,Krishna,2023.0,Sugarcane,83.8,56.8,53.5,,
Tamil Nadu,Madurai,2020.0,Soybean,61.1,30.0,44.5,,
Andhra Pradesh,Prakasam,2015.0,Pulses,121.5,29.6,50.5,,
Tamil Nadu,Madurai,2023.0,Sugarcane,146.1,41.4,54.3,,
Maharashtra,Nagpur,2021.0,Rice,173.1,57.4,80.9,,
Telangana,Nizamabad,2017.0,Rice,54.8,50.9,31.3,,
Tamil Nadu,Coimbatore,2022.0,Soybean,100.8,24.3,32.2,,
Punjab,Amritsar,2017.0,Rice,80.0,31.5,57.9,,
Maharashtra,Aurangabad,2015.0,Cotton,137.5,82.2,52.3,,
Tamil Nadu,Thanjavur,2019.0,Wheat,74.0,44.0,24.2,,
Tamil Nadu,Coimbatore,2022.0,Soybean,68.6,32.9,21.6,,
Karnataka,Raichur,2022.0,Rice,174.8,89.8,49.0,,
Maharashtra,Nagpur,2022.0,Wheat,164.0,54.3,83.6,,
Karnataka,Belgaum,2021.0,Maize,74.6,87.5,70.4,,
Karnataka,Raichur,2019.0,Cotton,158.8,70.8,62.7,,
Andhra Pradesh,Krishna,2016.0,Groundnut,168.7,41.7,89.6,,
Punjab,Patiala,2022.0,Groundnut,97.7,57.7,86.2,,
Tamil Nadu,Coimbatore,2016.0,Sugarcane,56.6,66.2,47.6,,
Karnataka,Raichur,2021.0,Groundnut,52.2,50.5,68.3,,
Maharashtra,Pune,2018.0,Rice,43.3,78.9,38.5,,
Telangana,Warangal,2018.0,Cotton,92.7,50.8,89.8,,
Telangana,Adilabad,2022.0,Wheat,88.0,36.0,71.3,,
Telangana,Nizamabad,2015.0,Pulses,103.7,20.4,82.8,,
Telangana,Warangal,2016.0,Groundnut,148.8,58.4,76.8,,
Karnataka,Belgaum,2017.0,Pulses,104.5,75.5,46.9,,
Punjab,Amritsar,2021.0,Groundnut,76.8,37.8,41.8,,
Telangana,Warangal,2022.0,Maize,75.7,76.3,51.8,,
Tamil Nadu,Coimbatore,2017.0,Rice,58.9,78.0,69.1,,
Andhra Pradesh,Krishna,2019.0,Wheat,90.9,69.0,62.8,,
Andhra Pradesh,Guntur,2021.0,Soybean,76.0,89.2,83.0,,
Maharashtra,Pune,2022.0,Rice,46.1,39.7,78.7,,
Karnataka,Belgaum,2017.0,Sugarcane,129.3,36.4,33.0,,
Tamil Nadu,Coimbatore,2023.0,Pulses,172.3,66.1,89.8,,
Tamil Nadu,Thanjavur,2016.0,Maize,105.0,65.9,60.8,,
Telangana,Nizamabad,2018.0,Groundnut,54.6,49.7,78.3,,
Karnataka,Raichur,2022.0,Pulses,169.7,50.6,27.1,,
Punjab,Ludhiana,2015.0,Wheat,114.5,42.0,26.1,,
Tamil Nadu,Thanjavur,2020.0,Soybean,89.9,30.7,69.9,,
Maharashtra,Aurangabad,2015.0,Groundnut,104.8,51.5,62.6,,
Punjab,Amritsar,2020.0,Groundnut,126.3,88.1,66.3,,
Andhra Pradesh,Prakasam,2018.0,Maize,47.9,29.3,71.8,,
Andhra Pradesh,Prakasam,2017.0,Soybean,73.2,83.1,85.3,,
Punjab,Patiala,2019.0,Pulses,133.8,82.5,57.6,,
Telangana,Adilabad,2015.0,Maize,149.0,79.0,46.3,,
Andhra Pradesh,Prakasam,2021.0,Maize,40.1,24.7,38.6,,
Maharashtra,Pune,2018.0,Pulses,155.8,78.8,26.9,,
Karnataka,Belgaum,2020.0,Rice,87.1,85.1,79.6,,
Andhra Pradesh,Krishna,2016.0,Groundnut,163.6,40.8,21.2,,
Telangana,Adilabad,2023.0,Rice,52.4,24.3,86.3,,
Punjab,Amritsar,2021.0,Sugarcane,118.6,31.8,31.3,,
Punjab,Ludhiana,2018.0,Pulses,109.1,89.8,28.4,,
Tamil Nadu,Coimbatore,2023.0,Groundnut,165.5,55.2,56.5,,
Karnataka,Mandya,2016.0,Maize,44.2,64.7,53.9,,
Telangana,Adilabad,2015.0,Rice,84.5,49.4,75.4,,
Tamil Nadu,Thanjavur,2023.0,Cotton,102.2,69.2,49.5,,
Karnataka,Mandya,2023.0,Pulses,170.1,48.9,53.2,,
Tamil Nadu,Madurai,2016.0,Pulses,174.7,48.5,82.4,,
Punjab,Ludhiana,2023.0,Cotton,167.8,68.1,63.2,,
Tamil Nadu,Thanjavur,2023.0,Rice,128.5,42.0,86.4,,
Punjab,Ludhiana,2015.0,Maize,125.3,72.3,51.1,,
Karnataka,Raichur,2015.0,Wheat,141.8,31.7,83.4,,
Karnataka,Belgaum,2021.0,Wheat,94.5,42.3,79.5,,
Telangana,Adilabad,2020.0,Rice,68.3,37.8,71.1,,
Maharashtra,Aurangabad,2021.0,Soybean,62.5,47.2,21.1,,
Tamil Nadu,Madurai,2016.0,Cotton,178.7,31.7,53.5,,
Maharashtra,Aurangabad,2020.0,Pulses,98.0,33.0,27.6,,
Punjab,Amritsar,2021.0,Rice,78.9,80.4,63.1,,
Maharashtra,Aurangabad,2019.0,Groundnut,99.2,71.5,68.0,,
Maharashtra,Aurangabad,2023.0,Groundnut,88.3,26.9,50.5,,
Karnataka,Mandya,2023.0,Wheat,110.1,87.3,65.2,,
Andhra Pradesh,Guntur,2023.0,Groundnut,45.2,54.1,76.5,,
Punjab,Amritsar,2018.0,Pulses,98.8,30.7,62.5,,
Tamil Nadu,Madurai,2021.0,Pulses,139.8,31.7,48.4,,
Andhra Pradesh,Prakasam,2019.0,Soybean,118.0,58.6,46.8,,
Telangana,Adilabad,2016.0,Maize,48.9,82.8,23.4,,
Punjab,Amritsar,2019.0,Soybean,76.6,54.5,41.8,,
Karnataka,Mandya,2023.0,Cotton,150.5,77.3,88.8,,
Karnataka,Mandya,2022.0,Maize,62.7,59.1,25.4,,
Punjab,Patiala,2018.0,Soybean,164.7,77.6,32.1,,
Andhra Pradesh,Krishna,2022.0,Groundnut,70.5,41.0,60.6,,
Karnataka,Raichur,2017.0,Groundnut,133.5,31.0,74.1,,
Andhra Pradesh,Krishna,2019.0,Maize,151.2,20.5,50.2,,
Punjab,Patiala,2017.0,Wheat,77.6,57.6,81.9,,
Karnataka,Raichur,2016.0,Rice,178.7,23.6,38.2,,
Karnataka,Mandya,2017.0,Pulses,172.9,35.0,55.2,,
Karnataka,Raichur,2021.0,Soybean,154.1,88.8,25.4,,
Karnataka,Belgaum,2019.0,Wheat,119.3,89.9,35.0,,
Maharashtra,Nagpur,2023.0,Rice,137.2,67.5,25.4,,
Andhra Pradesh,Krishna,2017.0,Soybean,56.4,34.5,73.0,,
Punjab,Amritsar,2017.0,Sugarcane,101.4,72.5,71.7,,
Telangana,Adilabad,2021.0,Maize,99.3,89.5,66.4,,
Maharashtra,Nagpur,2016.0,Rice,112.5,21.6,55.6,,
Andhra Pradesh,Prakasam,2018.0,Rice,79.7,35.2,66.4,,
Karnataka,Mandya,2018.0,Soybean,171.0,87.1,33.5,,
Maharashtra,Pune,2020.0,Maize,147.9,76.2,34.9,,
Maharashtra,Aurangabad,2023.0,Cotton,156.0,48.2,71.8,,
Andhra Pradesh,Prakasam,2019.0,Rice,150.5,73.5,88.9,,
Maharashtra,Aurangabad,2017.0,Soybean,161.4,32.3,82.0,,
Karnataka,Belgaum,2016.0,Cotton,89.6,81.7,23.5,,
Karnataka,Raichur,2022.0,Sugarcane,45.0,34.9,55.2,,
Andhra Pradesh,Guntur,2016.0,Cotton,143.7,81.3,40.1,,
Andhra Pradesh,Prakasam,2016.0,Sugarcane,119.8,75.5,62.5,,
Karnataka,Mandya,2022.0,Soybean,87.8,67.4,41.2,,
Andhra Pradesh,Prakasam,2020.0,Wheat,128.5,27.2,49.7,,
Tamil Nadu,Coimbatore,2016.0,Groundnut,63.0,82.7,35.1,,
Karnataka,Belgaum,2021.0,Wheat,164.2,55.6,50.2,,
Andhra Pradesh,Prakasam,2023.0,Wheat,102.4,39.9,76.1,,
Andhra Pradesh,Prakasam,2016.0,Soybean,156.0,72.6,50.3,,
Punjab,Ludhiana,2017.0,Wheat,167.4,62.8,39.3,,
Maharashtra,Aurangabad,2021.0,Groundnut,55.7,69.4,24.2,,
Punjab,Ludhiana,2023.0,Rice,76.7,34.1,45.2,,
Karnataka,Belgaum,2019.0,Maize,169.1,33.1,64.8,,
Andhra Pradesh,Prakasam,2019.0,Cotton,63.8,35.0,21.1,,
Maharashtra,Nagpur,2020.0,Maize,163.1,39.4,37.6,,
Andhra Pradesh,Krishna,2018.0,Rice,133.2,67.7,73.1,,
Karnataka,Raichur,2018.0,Rice,156.3,35.6,78.1,,
Punjab,Amritsar,2016.0,Rice,151.8,56.2,24.9,,
Tamil Nadu,Thanjavur,2019.0,Cotton,95.9,28.3,41.1,,
Andhra Pradesh,Guntur,2015.0,Soybean,99.2,81.1,51.7,,
Telangana,Warangal,2016.0,Sugarcane,93.9,58.8,68.9,,
Andhra Pradesh,Krishna,2022.0,Sugarcane,119.6,76.7,28.0,,
Maharashtra,Aurangabad,2016.0,Wheat,97.9,78.6,20.3,,
Maharashtra,Pune,2016.0,Soybean,83.7,62.0,34.7,,
Andhra Pradesh,Guntur,2017.0,Cotton,58.7,85.8,26.3,,
