State,District,Crop_Year,Soil_Type,pH_Level,Organic_Carbon_%,Fertility_Level
Maharashtra,Nagpur,2019,Clay,5.56,0.71,Low
Karnataka,Belgaum,2023,Loamy,5.92,0.56,Medium
Karnataka,Mandya,2016,Clay,6.85,0.39,Low
Telangana,Adilabad,2016,Alluvial,6.73,0.78,Medium
Telangana,Adilabad,2020,Black,7.28,1.0,Low
Punjab,Ludhiana,2023,Black,7.42,0.69,High
Karnataka,Raichur,2015,Black,7.58,0.9,Low
Maharashtra,Aurangabad,2023,Alluvial,6.14,0.84,Medium
Maharashtra,Pune,2023,Alluvial,6.25,0.77,High
Maharashtra,Pune,2023,Clay,6.87,1.02,High
Karnataka,Raichur,2019,Clay,7.2,0.73,Low
Tamil Nadu,Thanjavur,2023,Black,6.92,0.64,Medium
Maharashtra,Aurangabad,2018,Alluvial,7.11,0.42,High
Andhra Pradesh,Guntur,2016,Red,6.52,1.17,Low
Punjab,Patiala,2020,Loamy,7.42,0.38,Medium
Punjab,Ludhiana,2018,Alluvial,6.72,0.79,Low
Tamil Nadu,Madurai,2020,Alluvial,5.79,0.5,High
Telangana,Nizamabad,2017,Loamy,7.22,0.76,Low
Telangana,Warangal,2020,Alluvial,7.5,1.04,High
Karnataka,Belgaum,2016,Alluvial,6.27,1.08,High
Maharashtra,Aurangabad,2016,Alluvial,7.9,0.99,Low
Tamil Nadu,Coimbatore,2023,Clay,7.51,0.92,High
Telangana,Warangal,2021,Red,7.82,0.96,Low
Punjab,Ludhiana,2017,Clay,6.26,0.5,High
Maharashtra,Nagpur,2015,Black,7.65,0.43,Low
Andhra Pradesh,Krishna,2022,Alluvial,7.17,1.16,Low
Maharashtra,Pune,2020,Loamy,7.33,0.31,Medium
Tamil Nadu,Madurai,2021,Clay,6.18,0.44,Medium
Punjab,Ludhiana,2023,Clay,7.66,0.69,Medium
Andhra Pradesh,Krishna,2019,Black,5.86,1.0,Medium
Maharashtra,Pune,2015,Clay,5.65,0.67,High
Maharashtra,Aurangabad,2021,Alluvial,6.86,0.94,Medium
Maharashtra,Nagpur,2019,Black,5.92,0.53,Medium
Karnataka,Mandya,2017,Alluvial,7.34,0.82,Low
Maharashtra,Pune,2023,Red,5.97,0.32,Medium
Maharashtra,Nagpur,2015,Clay,7.69,0.59,Medium
Punjab,Amritsar,2015,Red,6.39,0.68,High
Telangana,Adilabad,2015,Red,5.89,0.9,Medium
Andhra Pradesh,Prakasam,2017,Red,7.13,0.37,High
Karnataka,Belgaum,2020,Loamy,5.6,0.36,High
Punjab,Patiala,2017,Red,6.39,0.56,High
Tamil Nadu,Madurai,2022,Alluvial,6.06,0.66,High
Maharashtra,Nagpur,2016,Alluvial,6.36,0.56,Low
Punjab,Patiala,2023,Loamy,6.03,0.46,High
Telangana,Adilabad,2017,Black,7.98,0.65,Low
Karnataka,Raichur,2019,Alluvial,7.91,0.99,Low
Punjab,Ludhiana,2022,Alluvial,7.05,1.0,Low
Karnataka,Mandya,2016,Alluvial,7.94,0.76,High
Telangana,Adilabad,2020,Clay,5.8,0.53,High
Karnataka,Belgaum,2019,Alluvial,7.17,0.99,Low
Tamil Nadu,Madurai,2023,Loamy,7.23,0.53,Low
Karnataka,Mandya,2019,Black,6.25,0.52,Medium
Andhra Pradesh,Krishna,2016,Alluvial,7.22,0.54,Low
Andhra Pradesh,Guntur,2019,Clay,5.62,1.1,Low
Karnataka,Raichur,2018,Alluvial,6.08,0.73,High
Maharashtra,Aurangabad,2021,Black,7.85,1.17,High
Andhra Pradesh,Krishna,2020,Red,5.96,0.42,Medium
Punjab,Amritsar,2016,Clay,6.84,0.4,Low
Andhra Pradesh,Guntur,2019,Black,5.66,0.89,Low
Telangana,Nizamabad,2021,Black,6.17,0.34,High
Andhra Pradesh,Krishna,2021,Black,6.57,0.99,Medium
Telangana,Warangal,2019,Loamy,6.28,0.47,Medium
Tamil Nadu,Coimbatore,2023,Red,6.41,0.52,Medium
Karnataka,Belgaum,2018,Clay,7.73,0.79,Medium
Karnataka,Raichur,2017,Clay,6.96,0.52,Low
Tamil Nadu,Coimbatore,2018,Loamy,7.65,0.45,Medium
Karnataka,Belgaum,2019,Black,7.86,0.55,Low
Karnataka,Belgaum,2020,Red,6.02,1.2,High
Tamil Nadu,Madurai,2017,Loamy,7.63,0.72,Low
Maharashtra,Nagpur,2016,Alluvial,7.38,0.43,Medium
Telangana,Nizamabad,2018,Red,6.88,0.36,Medium
Karnataka,Raichur,2019,Alluvial,5.87,0.74,Medium
Maharashtra,Pune,2018,Alluvial,7.8,0.72,High
Maharashtra,Nagpur,2017,Black,7.44,0.54,Medium
Punjab,Amritsar,2022,Alluvial,7.76,0.88,High
Tamil Nadu,Madurai,2018,Black,6.01,0.55,Medium
Tamil Nadu,Madurai,2016,Black,5.81,0.54,Medium
Karnataka,Raichur,2016,Loamy,6.31,0.47,Medium
Andhra Pradesh,Krishna,2015,Loamy,7.48,0.48,Medium
Maharashtra,Pune,2018,Alluvial,7.2,0.81,High
Karnataka,Raichur,2023,Loamy,6.94,0.95,Low
Tamil Nadu,Coimbatore,2021,Black,7.28,0.78,Medium
Telangana,Nizamabad,2021,Clay,7.48,0.33,Medium
Punjab,Ludhiana,2021,Alluvial,6.44,1.04,Medium
Karnataka,Mandya,2022,Red,5.63,1.07,Low
Telangana,Warangal,2015,Red,5.62,1.12,Medium
Maharashtra,Aurangabad,2022,Loamy,5.55,1.09,Medium
Punjab,Ludhiana,2018,Loamy,6.16,0.44,High
Tamil Nadu,Madurai,2018,Loamy,6.52,0.76,Low
Telangana,Warangal,2018,Alluvial,5.98,0.99,Medium
Punjab,Patiala,2020,Loamy,6.76,0.72,Medium
Maharashtra,Pune,2021,Red,6.85,1.18,Low
Karnataka,Raichur,2020,Alluvial,5.86,0.74,Medium
Punjab,Ludhiana,2015,Clay,6.57,0.54,High
Tamil Nadu,Madurai,2022,Black,6.97,0.75,High
Karnataka,Raichur,2021,Loamy,7.97,1.09,Low
Telangana,Nizamabad,2020,Red,6.31,0.51,Low
Punjab,Amritsar,2020,Alluvial,6.51,1.19,Low
Punjab,Amritsar,2019,Clay,5.64,1.03,Low
Maharashtra,Aurangabad,2020,Clay,6.5,0.74,High
Telangana,Nizamabad,2023,Clay,7.93,0.71,Low
Maharashtra,Nagpur,2023,Red,5.76,0.37,High
Telangana,Adilabad,2022,Black,6.39,1.15,High
Tamil Nadu,Coimbatore,2023,Black,6.31,0.36,Low
Tamil Nadu,Coimbatore,2022,Black,5.71,0.34,Low
Tamil Nadu,Madurai,2022,Loamy,6.11,0.96,Medium
Maharashtra,Pune,2015,Clay,6.06,0.71,Medium
Andhra Pradesh,Guntur,2019,Alluvial,7.75,0.77,Low
Maharashtra,Nagpur,2018,Clay,6.34,0.98,Medium
Telangana,Warangal,2016,Alluvial,7.01,1.04,High
Punjab,Ludhiana,2022,Clay,7.04,0.51,High
Telangana,Warangal,2017,Black,8.0,0.72,Medium
Karnataka,Belgaum,2018,Alluvial,6.3,0.6,High
Telangana,Nizamabad,2021,Red,6.21,0.99,Medium
Tamil Nadu,Madurai,2023,Loamy,7.32,0.38,Medium
Karnataka,Raichur,2016,Alluvial,5.82,1.18,High
Maharashtra,Aurangabad,2017,Loamy,7.51,0.36,High
Andhra Pradesh,Prakasam,2018,Clay,6.09,0.58,High
Maharashtra,Pune,2015,Black,7.35,1.17,Low
Telangana,Nizamabad,2021,Alluvial,6.2,0.56,High
Telangana,Adilabad,2016,Red,6.46,0.85,Low
Maharashtra,Pune,2019,Red,6.08,0.87,Low
Andhra Pradesh,Prakasam,2015,Alluvial,5.58,0.33,Low
Tamil Nadu,Madurai,2017,Alluvial,7.65,0.5,Low
Punjab,Ludhiana,2016,Alluvial,7.11,0.55,Low
Maharashtra,Nagpur,2015,Black,5.78,0.72,Medium
Maharashtra,Nagpur,2021,Alluvial,5.62,0.85,Medium
Punjab,Amritsar,2019,Alluvial,7.65,0.95,Low
Punjab,Patiala,2015,Red,6.03,0.33,High
Maharashtra,Pune,2020,Red,6.48,0.37,High
Tamil Nadu,Coimbatore,2019,Red,7.43,1.04,High
Telangana,Nizamabad,2017,Loamy,5.82,0.39,Low
Telangana,Adilabad,2021,Alluvial,7.29,1.14,Medium
Telangana,Nizamabad,2023,Red,6.13,1.16,Low
Maharashtra,Nagpur,2023,Black,7.11,0.88,Low
Telangana,Adilabad,2023,Loamy,7.97,0.54,High
Maharashtra,Nagpur,2016,Loamy,6.01,0.63,High
Karnataka,Raichur,2017,Black,6.33,0.41,High
Telangana,Adilabad,2021,Loamy,6.15,0.77,Low
Maharashtra,Pune,2019,Loamy,6.53,0.99,Low
Tamil Nadu,Coimbatore,2016,Red,7.69,0.62,High
Karnataka,Raichur,2017,Clay,5.91,1.09,Medium
Punjab,Amritsar,2020,Clay,6.34,1.09,Medium
Maharashtra,Pune,2021,Black,7.85,0.98,Low
Telangana,Adilabad,2023,Black,6.88,0.78,High
Maharashtra,Pune,2015,Alluvial,5.52,0.35,Medium
Tamil Nadu,Coimbatore,2021,Clay,7.58,1.16,Medium
Andhra Pradesh,Krishna,2022,Clay,7.9,1.09,Medium
Karnataka,Mandya,2017,Black,5.72,0.85,Low
Tamil Nadu,Coimbatore,2018,Clay,7.82,0.44,Low
Tamil Nadu,Thanjavur,2020,Alluvial,7.79,0.92,High
Maharashtra,Pune,2021,Loamy,7.82,1.14,Low
Tamil Nadu,Madurai,2018,Black,6.52,0.62,High
Maharashtra,Nagpur,2022,Alluvial,6.37,0.98,Low
Punjab,Ludhiana,2019,Clay,6.04,0.85,High
Tamil Nadu,Madurai,2015,Alluvial,7.13,0.76,High
Maharashtra,Pune,2018,Red,7.55,0.57,Medium
Punjab,Patiala,2017,Black,7.27,0.74,Low
Andhra Pradesh,Krishna,2023,Clay,5.62,0.99,High
Telangana,Nizamabad,2022,Loamy,7.34,0.81,Low
Tamil Nadu,Madurai,2015,Clay,8.0,0.97,High
Tamil Nadu,Coimbatore,2020,Black,6.7,0.58,High
Maharashtra,Aurangabad,2023,Black,5.56,1.1,High
Punjab,Ludhiana,2021,Alluvial,7.28,0.78,High
Telangana,Adilabad,2018,Clay,7.64,0.84,High
Maharashtra,Nagpur,2015,Alluvial,7.87,1.09,Medium
Telangana,Adilabad,2016,Alluvial,6.83,0.69,High
Tamil Nadu,Thanjavur,2019,Red,6.38,0.74,High
Tamil Nadu,Coimbatore,2019,Black,6.95,1.19,Medium
Karnataka,Raichur,2022,Alluvial,7.96,0.98,High
Andhra Pradesh,Prakasam,2020,Alluvial,6.22,0.96,High
Karnataka,Mandya,2022,Red,7.93,1.05,Low
Maharashtra,Pune,2016,Black,7.71,1.08,High
Andhra Pradesh,Krishna,2017,Clay,6.62,0.3,High
Karnataka,Belgaum,2020,Loamy,6.72,0.8,Low
Tamil Nadu,Madurai,2017,Clay,5.77,0.34,Medium
Punjab,Amritsar,2020,Alluvial,5.55,0.48,Medium
Tamil Nadu,Madurai,2020,Loamy,7.99,0.37,High
Karnataka,Mandya,2016,Clay,5.94,0.78,Low
Maharashtra,Pune,2021,Alluvial,6.15,0.42,Medium
Telangana,Warangal,2016,Clay,6.19,1.13,Low
Karnataka,Raichur,2020,Black,6.81,1.0,Low
Maharashtra,Pune,2015,Red,6.01,0.79,Medium
Telangana,Adilabad,2017,Loamy,7.31,0.85,High
Karnataka,Belgaum,2016,Alluvial,7.01,0.48,Medium
Andhra Pradesh,Prakasam,2021,Clay,7.61,1.12,High
Punjab,Ludhiana,2018,Black,7.55,0.48,Low
Tamil Nadu,Coimbatore,2022,Alluvial,5.89,1.18,Medium
Punjab,Patiala,2020,Clay,7.8,0.79,High
Maharashtra,Nagpur,2018,Clay,6.61,1.0,Medium
Maharashtra,Pune,2019,Alluvial,7.61,0.31,Medium
Andhra Pradesh,Krishna,2023,Black,6.29,0.99,High
Karnataka,Mandya,2021,Alluvial,7.97,0.32,Low
Telangana,Warangal,2023,Alluvial,5.77,1.09,Low
Tamil Nadu,Thanjavur,2021,Red,7.2,1.08,Medium
Karnataka,Mandya,2015,Alluvial,6.24,0.67,Medium
Punjab,Amritsar,2022,Loamy,6.76,0.54,Low
Punjab,Amritsar,2018,Loamy,6.22,0.52,Medium
Tamil Nadu,Coimbatore,2017,Clay,7.11,0.59,Medium
Maharashtra,Nagpur,2021,Loamy,7.53,1.03,Low
Punjab,Amritsar,2017,Loamy,6.65,0.8,Low
Telangana,Warangal,2022,Alluvial,6.94,1.09,Medium
Punjab,Ludhiana,2020,Alluvial,7.87,0.94,Medium
Telangana,Adilabad,2019,Alluvial,7.59,0.54,High
Maharashtra,Nagpur,2018,Black,5.69,1.18,Low
Tamil Nadu,Coimbatore,2022,Clay,5.88,0.67,High
Karnataka,Mandya,2022,Clay,7.79,0.45,High
Karnataka,Belgaum,2015,Clay,7.71,1.19,Low
Maharashtra,Aurangabad,2023,Red,5.61,0.7,Medium
Karnataka,Mandya,2019,Clay,7.1,0.57,Low
Punjab,Ludhiana,2018,Loamy,6.27,0.59,Low
Karnataka,Raichur,2020,Alluvial,7.22,0.6,Medium
Tamil Nadu,Thanjavur,2020,Alluvial,7.65,0.63,High
Andhra Pradesh,Prakasam,2016,Loamy,6.3,0.38,Medium
Punjab,Amritsar,2022,Clay,6.32,1.09,High
Punjab,Patiala,2021,Red,7.83,0.85,Medium
Telangana,Warangal,2015,Alluvial,6.79,1.06,High
Maharashtra,Pune,2019,Clay,7.89,0.62,High
Karnataka,Belgaum,2020,Black,5.61,0.95,Medium
Karnataka,Raichur,2018,Clay,7.21,0.51,High
Karnataka,Raichur,2016,Red,5.77,0.85,Medium
Maharashtra,Pune,2018,Alluvial,6.78,0.93,Low
Andhra Pradesh,Prakasam,2015,Red,7.36,0.86,Low
Maharashtra,Nagpur,2021,Black,7.04,0.46,Low
Punjab,Ludhiana,2016,Black,7.52,0.9,Low
Maharashtra,Pune,2016,Clay,7.17,0.72,Low
Karnataka,Raichur,2023,Loamy,6.15,0.42,High
Punjab,Ludhiana,2019,Clay,6.97,0.61,High
Andhra Pradesh,Prakasam,2016,Loamy,6.18,0.73,Medium
Telangana,Nizamabad,2023,Loamy,7.09,1.01,Medium
Andhra Pradesh,Krishna,2023,Clay,6.02,0.8,Medium
Karnataka,Mandya,2015,Red,5.86,0.71,Medium
Karnataka,Belgaum,2017,Alluvial,7.94,0.55,Medium
Punjab,Amritsar,2018,Alluvial,7.09,0.5,High
Maharashtra,Pune,2021,Alluvial,6.4,0.71,High
Karnataka,Belgaum,2018,Black,6.92,0.51,Medium
Andhra Pradesh,Prakasam,2016,Clay,7.28,1.0,High
Telangana,Warangal,2021,Clay,7.69,0.75,High
Maharashtra,Nagpur,2020,Red,6.28,0.93,Low
Telangana,Adilabad,2017,Clay,6.71,0.79,High
Maharashtra,Nagpur,2020,Black,5.83,0.43,High
Punjab,Amritsar,2020,Loamy,7.62,1.0,Medium
Andhra Pradesh,Prakasam,2019,Loamy,7.43,0.89,Medium
Tamil Nadu,Madurai,2018,Red,6.34,0.58,Low
Karnataka,Mandya,2015,Loamy,6.19,0.49,High
Andhra Pradesh,Prakasam,2020,Red,7.22,0.53,Low
Telangana,Nizamabad,2016,Clay,6.68,0.49,Medium
Maharashtra,Pune,2017,Black,6.98,0.39,High
Maharashtra,Nagpur,2022,Black,7.03,0.34,High
Telangana,Nizamabad,2020,Clay,5.82,0.69,High
Telangana,Nizamabad,2017,Black,7.29,0.98,Medium
Andhra Pradesh,Krishna,2021,Red,6.51,0.73,High
Karnataka,Raichur,2018,Loamy,6.88,0.31,Medium
Andhra Pradesh,Guntur,2023,Loamy,5.91,0.71,Medium
Maharashtra,Nagpur,2019,Loamy,7.0,0.43,Low
Tamil Nadu,Thanjavur,2017,Black,5.66,0.58,Medium
Karnataka,Belgaum,2016,Loamy,7.59,1.15,High
Telangana,Adilabad,2016,Clay,7.66,0.8,High
Andhra Pradesh,Guntur,2017,Clay,6.26,0.88,High
Punjab,Patiala,2016,Red,5.79,0.92,Medium
Tamil Nadu,Madurai,2018,Alluvial,6.03,0.42,High
Andhra Pradesh,Guntur,2016,Red,6.92,0.55,High
Telangana,Nizamabad,2023,Clay,5.56,0.44,Low
Maharashtra,Nagpur,2016,Red,6.2,1.06,High
Andhra Pradesh,Krishna,2023,Alluvial,7.76,1.16,High
Punjab,Patiala,2020,Black,6.62,0.76,Low
Punjab,Ludhiana,2015,Red,7.63,0.67,Medium
Punjab,Ludhiana,2018,Red,7.65,1.04,High
Karnataka,Mandya,2015,Clay,5.94,0.78,Low
Telangana,Adilabad,2020,Loamy,6.84,0.79,Medium
Telangana,Nizamabad,2018,Alluvial,6.39,0.88,Low
Maharashtra,Pune,2017,Loamy,6.64,0.69,Medium
Telangana,Nizamabad,2017,Alluvial,7.69,0.6,High
Maharashtra,Nagpur,2023,Clay,6.16,1.09,High
Maharashtra,Aurangabad,2020,Clay,6.42,0.61,Low
Punjab,Amritsar,2023,Clay,6.53,0.44,Low
Punjab,Amritsar,2019,Clay,7.87,0.85,Medium
Andhra Pradesh,Prakasam,2016,Loamy,7.11,0.43,Medium
Tamil Nadu,Madurai,2022,Clay,7.49,1.16,Low
Tamil Nadu,Thanjavur,2019,Alluvial,6.77,1.08,Medium
Karnataka,Belgaum,2016,Clay,5.88,0.4,Medium
Maharashtra,Pune,2018,Clay,6.87,0.8,Low
Telangana,Adilabad,2023,Black,6.2,1.09,Medium
Karnataka,Mandya,2018,Alluvial,7.15,0.66,Low
Karnataka,Belgaum,2018,Loamy,6.58,1.12,Medium
Andhra Pradesh,Guntur,2016,Clay,6.08,1.01,High
Punjab,Ludhiana,2020,Loamy,5.54,1.09,Medium
Andhra Pradesh,Guntur,2016,Red,6.41,1.08,Medium
Tamil Nadu,Thanjavur,2021,Red,6.49,0.81,Medium
Punjab,Amritsar,2017,Red,7.79,0.64,Medium
Maharashtra,Pune,2017,Red,7.24,0.6,Medium
Maharashtra,Nagpur,2019,Clay,7.05,0.86,Medium
Tamil Nadu,Madurai,2017,Red,6.37,0.37,Medium
Karnataka,Mandya,2016,Clay,6.88,0.37,High
Karnataka,Mandya,2023,Red,7.27,1.01,High
Punjab,Amritsar,2016,Black,7.18,1.07,High
Punjab,Amritsar,2016,Red,6.05,0.89,Low
Maharashtra,Aurangabad,2022,Clay,6.15,0.38,Low
Karnataka,Belgaum,2023,Loamy,7.68,0.39,Medium
Punjab,Patiala,2021,Loamy,7.76,1.15,Low
Karnataka,Mandya,2017,Loamy,7.34,0.48,High
Tamil Nadu,Coimbatore,2023,Black,7.92,0.87,Medium
Maharashtra,Pune,2017,Alluvial,5.99,1.17,Low
Telangana,Adilabad,2019,Black,6.6,0.87,Low
Punjab,Patiala,2023,Black,5.74,0.53,Medium
Maharashtra,Aurangabad,2017,Alluvial,6.56,0.78,High
Maharashtra,Aurangabad,2021,Red,6.37,0.34,Medium
Telangana,Warangal,2015,Loamy,6.45,0.82,Medium
Telangana,Warangal,2018,Loamy,5.57,0.9,Low
Tamil Nadu,Madurai,2018,Clay,7.77,0.72,Medium
Maharashtra,Aurangabad,2021,Loamy,5.91,0.76,High
Andhra Pradesh,Prakasam,2022,Alluvial,7.56,0.67,Medium
Andhra Pradesh,Guntur,2015,Alluvial,6.93,0.67,High
Maharashtra,Aurangabad,2019,Loamy,5.63,0.53,Medium
Andhra Pradesh,Prakasam,2021,Clay,7.16,1.15,Medium
Punjab,Amritsar,2018,Alluvial,6.58,1.19,High
Punjab,Ludhiana,2018,Loamy,6.78,0.86,Medium
Telangana,Warangal,2018,Red,6.03,0.87,High
Tamil Nadu,Thanjavur,2020,Red,6.83,0.57,Low
Tamil Nadu,Madurai,2021,Clay,5.97,0.65,Medium
Telangana,Nizamabad,2016,Red,6.61,0.89,High
Maharashtra,Aurangabad,2019,Alluvial,6.61,0.91,Low
Tamil Nadu,Madurai,2018,Red,6.25,1.06,High
Karnataka,Mandya,2017,Red,6.83,0.49,Low
Punjab,Amritsar,2021,Alluvial,6.66,0.94,Medium
Maharashtra,Pune,2020,Black,7.63,1.09,Medium
Telangana,Adilabad,2021,Black,5.66,0.46,High
Karnataka,Mandya,2019,Red,7.66,0.76,High
Telangana,Nizamabad,2020,Clay,5.85,0.38,Medium
Karnataka,Mandya,2019,Clay,5.71,0.66,High
Karnataka,Mandya,2021,Loamy,7.05,0.64,Medium
Punjab,Ludhiana,2016,Alluvial,7.59,0.34,Low
Tamil Nadu,Thanjavur,2019,Red,6.18,0.86,Low
Andhra Pradesh,Prakasam,2020,Loamy,7.07,1.07,Low
Tamil Nadu,Thanjavur,2020,Loamy,7.64,1.15,High
Tamil Nadu,Thanjavur,2019,Red,7.76,0.75,High
Tamil Nadu,Madurai,2021,Clay,6.3,0.36,Medium
Punjab,Ludhiana,2022,Clay,6.24,0.6,Low
Maharashtra,Pune,2021,Clay,6.72,0.72,High
Tamil Nadu,Coimbatore,2019,Clay,7.66,0.81,Low
Telangana,Warangal,2015,Black,7.83,0.77,High
Andhra Pradesh,Prakasam,2019,Red,7.68,0.32,Low
Punjab,Patiala,2016,Clay,7.33,0.65,Low
Karnataka,Belgaum,2019,Red,5.71,0.76,Low
Telangana,Warangal,2019,Clay,6.89,0.82,Low
Maharashtra,Pune,2016,Clay,6.32,0.45,Medium
Maharashtra,Nagpur,2019,Loamy,7.28,1.15,Medium
Karnataka,Belgaum,2018,Alluvial,7.99,1.16,Medium
Karnataka,Raichur,2015,Clay,6.93,0.75,Low
Telangana,Nizamabad,2017,Loamy,5.85,0.65,High
Andhra Pradesh,Krishna,2015,Clay,6.8,0.45,Low
Karnataka,Raichur,2019,Alluvial,7.5,0.54,High
Maharashtra,Aurangabad,2018,Clay,6.28,1.17,High
Karnataka,Mandya,2021,Black,6.33,0.72,Medium
Andhra Pradesh,Krishna,2019,Red,7.44,1.05,High
Telangana,Adilabad,2018,Black,7.45,0.41,Low
Telangana,Nizamabad,2016,Alluvial,6.92,0.8,Low
Telangana,Adilabad,2018,Black,7.79,0.43,Medium
Tamil Nadu,Coimbatore,2016,Loamy,7.83,0.9,Low
Punjab,Amritsar,2022,Clay,7.92,0.73,Medium
Karnataka,Mandya,2017,Loamy,6.78,0.67,Medium
Karnataka,Mandya,2023,Red,7.22,0.77,Low
Andhra Pradesh,Krishna,2018,Red,6.11,1.04,Low
Punjab,Amritsar,2020,Red,7.38,0.44,Low
Telangana,Nizamabad,2019,Red,6.9,1.16,Low
Karnataka,Mandya,2015,Alluvial,7.13,1.01,Medium
Punjab,Ludhiana,2023,Loamy,6.84,0.47,High
Maharashtra,Aurangabad,2015,Black,6.3,0.88,Medium
Punjab,Patiala,2022,Black,6.85,1.05,High
Punjab,Ludhiana,2023,Alluvial,6.24,0.61,High
Karnataka,Raichur,2023,Red,6.69,0.65,Medium
Andhra Pradesh,Guntur,2015,Red,6.2,1.07,Low
Andhra Pradesh,Krishna,2016,Black,5.95,0.34,High
Punjab,Patiala,2015,Clay,5.51,0.5,Medium
Telangana,Warangal,2016,Loamy,7.5,0.77,Medium
Tamil Nadu,Coimbatore,2022,Red,5.69,0.62,High
Andhra Pradesh,Krishna,2019,Loamy,6.89,0.98,High
Maharashtra,Aurangabad,2021,Alluvial,7.98,0.73,High
Punjab,Ludhiana,2016,Clay,6.77,0.71,Medium
Punjab,Amritsar,2022,Black,5.9,0.79,High
Telangana,Adilabad,2020,Loamy,7.37,1.15,High
Karnataka,Raichur,2022,Alluvial,7.22,0.38,Low
Maharashtra,Pune,2015,Red,7.41,0.64,High
Telangana,Nizamabad,2015,Red,5.93,0.81,Low
Telangana,Adilabad,2021,Red,5.76,0.92,High
Andhra Pradesh,Guntur,2022,Alluvial,6.12,0.59,Low
Andhra Pradesh,Krishna,2017,Loamy,6.0,0.54,High
Tamil Nadu,Coimbatore,2019,Loamy,7.68,0.46,High
Karnataka,Mandya,2015,Alluvial,5.94,0.6,Medium
Telangana,Warangal,2021,Clay,7.03,0.51,High
Punjab,Patiala,2019,Loamy,6.33,0.54,Low
Maharashtra,Pune,2022,Alluvial,5.81,0.74,High
Andhra Pradesh,Krishna,2022,Black,7.36,0.32,Low
Telangana,Adilabad,2023,Red,5.75,0.8,Medium
Karnataka,Raichur,2021,Red,5.87,1.07,Low
Punjab,Amritsar,2015,Alluvial,7.24,0.45,Medium
Tamil Nadu,Coimbatore,2017,Black,6.7,0.33,High
Tamil Nadu,Coimbatore,2022,Red,7.5,0.45,High
Punjab,Amritsar,2017,Clay,6.84,1.02,High
Andhra Pradesh,Guntur,2022,Alluvial,7.45,0.82,High
Maharashtra,Pune,2015,Black,6.57,0.54,Low
Andhra Pradesh,Krishna,2019,Black,6.02,0.53,Medium
Maharashtra,Nagpur,2018,Black,6.8,0.81,Low
Telangana,Warangal,2019,Loamy,5.76,1.18,Low
Tamil Nadu,Thanjavur,2022,Black,6.54,0.49,Low
Telangana,Nizamabad,2018,Red,6.62,0.44,High
Andhra Pradesh,Guntur,2018,Black,7.37,0.91,High
Andhra Pradesh,Krishna,2017,Alluvial,6.78,0.65,Medium
Karnataka,Belgaum,2021,Alluvial,6.19,1.09,High
Karnataka,Raichur,2017,Alluvial,6.41,1.15,Low
Telangana,Warangal,2017,Alluvial,5.57,0.72,Low
Karnataka,Belgaum,2019,Red,6.79,1.09,Low
Andhra Pradesh,Krishna,2019,Black,7.71,0.44,High
Tamil Nadu,Madurai,2020,Alluvial,6.53,0.83,Low
Punjab,Patiala,2022,Loamy,6.1,0.67,High
Andhra Pradesh,Prakasam,2020,Clay,7.56,0.86,Low
Andhra Pradesh,Guntur,2015,Clay,6.55,1.1,High
Andhra Pradesh,Prakasam,2022,Alluvial,6.51,1.13,Medium
Punjab,Patiala,2022,Alluvial,7.61,0.63,Low
Punjab,Amritsar,2023,Red,6.34,0.77,Low
Karnataka,Mandya,2023,Clay,5.59,0.44,High
Punjab,Amritsar,2016,Red,6.87,0.39,Low
Maharashtra,Aurangabad,2016,Loamy,7.52,0.74,Medium
Punjab,Patiala,2017,Alluvial,6.21,0.31,Low
Telangana,Nizamabad,2015,Red,6.37,1.05,High
Telangana,Adilabad,2018,Red,7.42,0.66,High
Maharashtra,Nagpur,2018,Alluvial,6.52,0.93,High
Punjab,Amritsar,2023,Red,7.4,1.06,Low
Punjab,Patiala,2023,Loamy,6.88,0.85,Medium
Maharashtra,Nagpur,2023,Clay,5.52,0.84,Medium
Andhra Pradesh,Prakasam,2021,Black,5.74,0.55,High
Punjab,Patiala,2016,Clay,7.42,0.89,Medium
Punjab,Amritsar,2019,Clay,7.56,1.04,High
Maharashtra,Nagpur,2018,Alluvial,7.88,1.18,Medium
Karnataka,Mandya,2022,Clay,7.78,0.84,High
Tamil Nadu,Madurai,2016,Black,5.98,0.61,High
Maharashtra,Aurangabad,2020,Alluvial,7.47,0.63,Medium
Andhra Pradesh,Krishna,2019,Alluvial,6.33,0.62,Low
Punjab,Patiala,2016,Loamy,6.95,0.91,Low
Telangana,Adilabad,2015,Alluvial,6.34,0.61,High
Andhra Pradesh,Prakasam,2022,Alluvial,7.99,0.62,High
Tamil Nadu,Coimbatore,2016,Clay,5.65,0.42,High
Andhra Pradesh,Prakasam,2021,Alluvial,6.14,0.95,Low
Andhra Pradesh,Prakasam,2023,Loamy,7.02,1.01,Low
Tamil Nadu,Thanjavur,2023,Loamy,7.84,0.59,Medium
Andhra Pradesh,Prakasam,2022,Red,5.54,1.0,Low
Telangana,Adilabad,2023,Black,7.94,1.04,Medium
Andhra Pradesh,Prakasam,2016,Alluvial,6.77,0.78,Low
Telangana,Nizamabad,2020,Clay,6.42,1.0,High
Punjab,Amritsar,2018,Loamy,6.42,0.91,Medium
Karnataka,Mandya,2018,Alluvial,5.82,1.19,Medium
Telangana,Adilabad,2019,Clay,6.34,0.34,Low
