State,District,Crop_Year,Season,Crop,Area_Hectares,Production_Tonnes,Yield_Tonnes_Per_Ha
Karnataka,Belgaum,2017.0,Rabi,Pulses,96951.26,357326.6,3.69
Maharashtra,Pune,2022.0,Summer,Wheat,108520.06,208170.76,1.92
Tamil Nadu,Thanjavur,2021.0,Kharif,Sugarcane,76015.03,164275.66,2.16
Punjab,Ludhiana,2018.0,Kharif,Soybean,72094.62,156188.06,2.17
Punjab,Ludhiana,2023.0,Kharif,Rice,102686.91,362607.01,3.53
Andhra Pradesh,Prakasam,2022.0,Kharif,Groundnut,41542.15,137721.93,3.32
Andhra Pradesh,Prakasam,2017.0,Rabi,Soybean,87335.83,243048.75,2.78
Maharashtra,Pune,2020.0,Rabi,Rice,45405.83,201264.56,4.43
Tamil Nadu,Thanjavur,2022.0,Summer,Cotton,90275.68,247971.89,2.75
Maharashtra,Pune,2021.0,Summer,Maize,88789.63,243512.78,2.74
Tamil Nadu,Madurai,2018.0,Kharif,Wheat,39871.58,178032.48,4.47
Tamil Nadu,Coimbatore,2021.0,Summer,Wheat,15171.55,41393.78,2.73
Punjab,Amritsar,2022.0,Summer,Maize,86678.41,326407.6,3.77
Telangana,Warangal,2019.0,Rabi,Maize,68694.7,111745.58,1.63
Punjab,Patiala,2023.0,Rabi,Sugarcane,90083.44,195801.82,2.17
Andhra Pradesh,Guntur,2022.0,Rabi,Sugarcane,19280.35,67437.66,3.5
Punjab,Amritsar,2018.0,Rabi,Maize,8270.9,31381.08,3.79
Maharashtra,Nagpur,2022.0,Summer,Soybean,70041.08,287521.28,4.11
Karnataka,Raichur,2016.0,Summer,Pulses,47918.25,177243.46,3.7
Andhra Pradesh,Krishna,2015.0,Summer,Maize,21805.77,62868.91,2.88
Karnataka,Mandya,2015.0,Kharif,Soybean,36357.09,100292.56,2.76
Punjab,Ludhiana,2023.0,Rabi,Sugarcane,78478.85,135806.08,1.73
Telangana,Nizamabad,2017.0,Kharif,Maize,67526.92,278030.57,4.12
Karnataka,Belgaum,2020.0,Summer,Sugarcane,16020.84,51909.76,3.24
Telangana,Warangal,2019.0,Summer,Maize,47896.63,141520.03,2.95
Punjab,Ludhiana,2017.0,Kharif,Wheat,62889.03,251224.11,3.99
Tamil Nadu,Madurai,2022.0,Rabi,Wheat,110343.58,204102.18,1.85
Telangana,Warangal,2019.0,Rabi,Pulses,84470.83,161934.12,1.92
Maharashtra,Aurangabad,2019.0,Kharif,Soybean,8307.35,32761.88,3.94
Telangana,Warangal,2018.0,Summer,Maize,40354.26,85935.33,2.13
Andhra Pradesh,Krishna,2015.0,Kharif,Wheat,94089.62,354906.24,3.77
Andhra Pradesh,Guntur,2023.0,Kharif,Wheat,73215.26,212854.85,2.91
Punjab,Ludhiana,2015.0,Rabi,Wheat,91773.28,353062.13,3.85
Tamil Nadu,Thanjavur,2020.0,Kharif,Cotton,8364.8,16199.87,1.94
Karnataka,Belgaum,2017.0,Rabi,Soybean,103340.88,397077.66,3.84
Tamil Nadu,Thanjavur,2015.0,Kharif,Wheat,65816.46,240061.25,3.65
Punjab,Ludhiana,2016.0,Summer,Rice,111286.69,474240.61,4.26
Karnataka,Belgaum,2017.0,Summer,Soybean,55561.57,242984.26,4.37
Telangana,Adilabad,2018.0,Rabi,Groundnut,64138.87,174633.08,2.72
Punjab,Ludhiana,2023.0,Kharif,Pulses,20629.92,78121.82,3.79
Karnataka,Belgaum,2020.0,Kharif,Rice,61776.97,163977.29,2.65
Maharashtra,Aurangabad,2022.0,Summer,Sugarcane,30975.44,84310.4,2.72
Maharashtra,Nagpur,2020.0,Rabi,Wheat,25619.19,115188.23,4.5
Maharashtra,Aurangabad,2022.0,Rabi,Wheat,65106.17,229795.87,3.53
Andhra Pradesh,Guntur,2016.0,Rabi,Groundnut,90264.7,377061.19,4.18
Telangana,Warangal,2020.0,Kharif,Soybean,28030.3,113020.65,4.03
Maharashtra,Nagpur,2022.0,Rabi,Cotton,37029.61,134805.61,3.64
Tamil Nadu,Madurai,2021.0,Summer,Sugarcane,45951.19,160830.59,3.5
Maharashtra,Pune,2022.0,Kharif,Sugarcane,17424.22,39240.56,2.25
Maharashtra,Nagpur,2016.0,Kharif,Maize,89846.81,358572.99,3.99
Maharashtra,Aurangabad,2021.0,Kharif,Rice,74527.15,184892.0,2.48
Punjab,Patiala,2023.0,Kharif,Wheat,93270.79,361722.24,3.88
Telangana,Adilabad,2023.0,Rabi,Pulses,35091.51,88811.24,2.53
Tamil Nadu,Madurai,2021.0,Kharif,Rice,106214.45,197282.97,1.86
Maharashtra,Pune,2022.0,Rabi,Groundnut,9137.83,18555.35,2.03
Karnataka,Belgaum,2021.0,Rabi,Maize,20466.15,74643.52,3.65
Maharashtra,Nagpur,2023.0,Summer,Pulses,83818.03,269611.65,3.22
Maharashtra,Aurangabad,2015.0,Summer,Maize,50009.25,149231.27,2.98
Maharashtra,Aurangabad,2020.0,Rabi,Soybean,12063.76,39465.27,3.27
Telangana,Adilabad,2015.0,Summer,Soybean,92997.31,313908.61,3.38
Maharashtra,Nagpur,2020.0,Rabi,Groundnut,52371.9,87426.91,1.67
Telangana,Warangal,2019.0,Summer,Cotton,73141.14,309472.38,4.23
Andhra Pradesh,Krishna,2017.0,Rabi,Wheat,7266.88,18009.88,2.48
Maharashtra,Aurangabad,2023.0,Summer,Groundnut,108662.13,249907.32,2.3
Karnataka,Belgaum,2021.0,Rabi,Rice,70590.66,174165.8,2.47
Andhra Pradesh,Krishna,2018.0,Summer,Wheat,43636.26,131271.2,3.01
Karnataka,Belgaum,2019.0,Summer,Maize,46783.45,131366.68,2.81
Maharashtra,Aurangabad,2018.0,Summer,Wheat,38045.89,62493.95,1.64
Tamil Nadu,Coimbatore,2016.0,Summer,Cotton,87536.29,283143.11,3.23
Tamil Nadu,Coimbatore,2023.0,Kharif,Sugarcane,59655.86,127020.3,2.13
Andhra Pradesh,Prakasam,2019.0,Summer,Sugarcane,54784.71,170919.68,3.12
Telangana,Adilabad,2023.0,Rabi,Groundnut,57121.29,216508.35,3.79
Telangana,Warangal,2022.0,Summer,Maize,29489.57,129351.61,4.39
Karnataka,Belgaum,2023.0,Summer,Sugarcane,98027.35,397826.74,4.06
Maharashtra,Aurangabad,2018.0,Summer,Rice,46891.59,91121.19,1.94
Telangana,Nizamabad,2021.0,Rabi,Sugarcane,41645.12,166190.81,3.99
Andhra Pradesh,Prakasam,2019.0,Rabi,Cotton,99726.73,342873.26,3.44
Punjab,Patiala,2018.0,Rabi,Cotton,18059.24,37486.43,2.08
Telangana,Adilabad,2023.0,Rabi,Pulses,118998.71,329157.26,2.77
Andhra Pradesh,Guntur,2017.0,Rabi,Maize,8351.31,32311.3,3.87
Punjab,Patiala,2015.0,Summer,Maize,115835.49,342586.46,2.96
Andhra Pradesh,Guntur,2019.0,Rabi,Wheat,104724.75,440024.56,4.2
Maharashtra,Pune,2017.0,Rabi,Wheat,32144.73,103278.45,3.21
Tamil Nadu,Thanjavur,2016.0,Rabi,Sugarcane,32378.84,60445.81,1.87
Punjab,Amritsar,2018.0,Summer,Groundnut,112582.51,242505.56,2.15
Andhra Pradesh,Guntur,2022.0,Rabi,Cotton,51963.19,212461.88,4.09
Andhra Pradesh,Krishna,2016.0,Summer,Soybean,41396.34,114723.5,2.77
Karnataka,Mandya,2020.0,Kharif,Sugarcane,59650.5,155283.25,2.6
Punjab,Ludhiana,2015.0,Summer,Rice,84428.48,326434.96,3.87
Telangana,Adilabad,2020.0,Rabi,Groundnut,108863.07,387089.32,3.56
Tamil Nadu,Thanjavur,2015.0,Rabi,Pulses,109625.75,293679.35,2.68
Punjab,Amritsar,2019.0,Kharif,Wheat,29194.45,121762.47,4.17
Maharashtra,Aurangabad,2021.0,Summer,Soybean,95771.5,222391.92,2.32
Andhra Pradesh,Krishna,2021.0,Summer,Pulses,111547.18,278663.44,2.5
Maharashtra,Nagpur,2019.0,Summer,Maize,63228.47,161584.72,2.56
Tamil Nadu,Madurai,2015.0,Rabi,Soybean,92627.18,317166.43,3.42
Telangana,Nizamabad,2017.0,Summer,Pulses,5353.72,11244.02,2.1
Punjab,Amritsar,2017.0,Kharif,Wheat,33704.41,122707.37,3.64
Karnataka,Mandya,2022.0,Rabi,Groundnut,60012.03,222375.56,3.71
Punjab,Ludhiana,2018.0,Rabi,Soybean,14705.88,38276.45,2.6
Maharashtra,Pune,2015.0,Kharif,Cotton,111157.92,382529.98,3.44
Karnataka,Mandya,2018.0,Rabi,Wheat,35105.06,142368.31,4.06
Andhra Pradesh,Krishna,2019.0,Summer,Groundnut,22163.89,96947.04,4.37
Telangana,Nizamabad,2023.0,Kharif,Wheat,55043.25,234482.44,4.26
Maharashtra,Aurangabad,2018.0,Kharif,Pulses,87059.83,180355.97,2.07
Punjab,Amritsar,2017.0,Rabi,Pulses,54600.49,115743.09,2.12
Telangana,Adilabad,2017.0,Rabi,Cotton,51980.27,100728.85,1.94
Punjab,Amritsar,2022.0,Summer,Cotton,109342.75,285265.75,2.61
Karnataka,Raichur,2015.0,Kharif,Pulses,58921.38,242422.03,4.11
Karnataka,Belgaum,2021.0,Summer,Cotton,86472.11,320665.59,3.71
Punjab,Ludhiana,2015.0,Summer,Wheat,10992.95,47194.87,4.29
Maharashtra,Pune,2019.0,Kharif,Rice,63022.33,166556.23,2.64
Maharashtra,Aurangabad,2023.0,Kharif,Soybean,9729.37,19829.59,2.04
Telangana,Nizamabad,2022.0,Rabi,Pulses,20170.75,49457.71,2.45
Tamil Nadu,Coimbatore,2016.0,Rabi,Maize,41026.0,181972.87,4.44
Maharashtra,Pune,2019.0,Rabi,Soybean,108821.16,249162.28,2.29
Punjab,Patiala,2017.0,Rabi,Soybean,41287.44,185120.3,4.48
Telangana,Nizamabad,2018.0,Kharif,Pulses,22091.39,48370.9,2.19
Andhra Pradesh,Krishna,2022.0,Kharif,Sugarcane,55189.43,247558.0,4.49
Maharashtra,Nagpur,2023.0,Rabi,Pulses,60797.94,181114.97,2.98
Karnataka,Mandya,2016.0,Rabi,Wheat,28429.38,66875.83,2.35
Telangana,Nizamabad,2018.0,Summer,Sugarcane,72107.95,318348.1,4.41
Tamil Nadu,Madurai,2016.0,Rabi,Maize,33308.11,99735.55,2.99
Andhra Pradesh,Krishna,2016.0,Rabi,Rice,50329.53,164628.67,3.27
Andhra Pradesh,Krishna,2016.0,Kharif,Maize,57926.82,209875.82,3.62
Maharashtra,Pune,2015.0,Summer,Sugarcane,42884.1,69967.17,1.63
Tamil Nadu,Coimbatore,2017.0,Summer,Soybean,29307.19,48241.0,1.65
Karnataka,Belgaum,2016.0,Kharif,Soybean,67922.97,224612.74,3.31
Andhra Pradesh,Krishna,2018.0,Kharif,Sugarcane,115980.67,475120.21,4.1
Andhra Pradesh,Guntur,2021.0,Kharif,Cotton,94641.64,222862.86,2.35
Karnataka,Mandya,2022.0,Rabi,Wheat,97126.55,360112.99,3.71
Punjab,Patiala,2016.0,Rabi,Maize,100686.08,305880.25,3.04
Maharashtra,Pune,2019.0,Rabi,Groundnut,69751.56,193156.84,2.77
Maharashtra,Pune,2021.0,Rabi,Maize,15688.96,47694.82,3.04
Maharashtra,Aurangabad,2017.0,Summer,Cotton,112026.78,345248.18,3.08
Karnataka,Raichur,2022.0,Rabi,Wheat,55295.88,233438.37,4.22
Maharashtra,Pune,2019.0,Kharif,Maize,101776.86,312381.29,3.07
Punjab,Patiala,2016.0,Summer,Rice,110489.73,335915.69,3.04
Tamil Nadu,Coimbatore,2022.0,Kharif,Groundnut,80998.35,259634.92,3.21
Punjab,Amritsar,2016.0,Summer,Sugarcane,93394.38,144649.78,1.55
Karnataka,Raichur,2017.0,Kharif,Pulses,101934.63,166742.24,1.64
Maharashtra,Aurangabad,2022.0,Rabi,Sugarcane,92095.74,262458.47,2.85
Punjab,Amritsar,2017.0,Kharif,Maize,13995.36,62231.19,4.45
Punjab,Patiala,2023.0,Rabi,Wheat,7060.25,18955.37,2.68
Andhra Pradesh,Guntur,2021.0,Rabi,Pulses,104909.76,461331.38,4.4
Tamil Nadu,Madurai,2020.0,Rabi,Pulses,84426.16,370582.28,4.39
Karnataka,Belgaum,2017.0,Kharif,Sugarcane,20538.1,42563.29,2.07
Andhra Pradesh,Prakasam,2018.0,Kharif,Cotton,60328.48,116763.52,1.94
Telangana,Adilabad,2019.0,Kharif,Cotton,93517.93,181845.33,1.94
Maharashtra,Nagpur,2017.0,Kharif,Wheat,89959.84,255107.92,2.84
Maharashtra,Pune,2018.0,Rabi,Rice,28153.92,90325.98,3.21
Maharashtra,Nagpur,2016.0,Kharif,Soybean,77497.14,282033.67,3.64
Maharashtra,Pune,2022.0,Kharif,Sugarcane,50963.24,154931.67,3.04
Karnataka,Raichur,2015.0,Kharif,Pulses,65755.51,181880.64,2.77
Punjab,Patiala,2021.0,Rabi,Wheat,107251.17,198502.85,1.85
Tamil Nadu,Madurai,2021.0,Rabi,Soybean,7392.8,17476.82,2.36
Telangana,Adilabad,2018.0,Rabi,Soybean,63378.13,206801.33,3.26
Karnataka,Belgaum,2019.0,Kharif,Pulses,88144.43,235443.79,2.67
Maharashtra,Aurangabad,2017.0,Rabi,Soybean,76511.87,179601.79,2.35
Karnataka,Mandya,2017.0,Kharif,Pulses,27940.69,92686.17,3.32
Andhra Pradesh,Krishna,2018.0,Rabi,Pulses,29084.79,47732.45,1.64
Andhra Pradesh,Krishna,2017.0,Rabi,Sugarcane,25092.2,102335.65,4.08
Tamil Nadu,Thanjavur,2021.0,Rabi,Wheat,18106.47,39473.39,2.18
Tamil Nadu,Thanjavur,2020.0,Rabi,Pulses,95261.87,362768.79,3.81
Tamil Nadu,Coimbatore,2023.0,Summer,Maize,74493.29,135013.58,1.81
Andhra Pradesh,Krishna,2016.0,Kharif,Pulses,94890.03,315885.83,3.33
Andhra Pradesh,Prakasam,2016.0,Summer,Rice,24210.32,44890.24,1.85
Telangana,Adilabad,2019.0,Summer,Maize,86438.79,327248.1,3.79
Maharashtra,Aurangabad,2020.0,Kharif,Wheat,43479.87,83190.79,1.91
Telangana,Adilabad,2018.0,Kharif,Groundnut,101003.54,295030.33,2.92
Punjab,Patiala,2019.0,Kharif,Maize,47830.18,180058.42,3.76
Punjab,Patiala,2023.0,Kharif,Cotton,53498.05,116868.95,2.18
Maharashtra,Pune,2023.0,Rabi,Groundnut,96379.84,249173.03,2.59
Andhra Pradesh,Krishna,2023.0,Kharif,Maize,113518.93,199150.19,1.75
Punjab,Amritsar,2015.0,Rabi,Maize,50225.62,80927.6,1.61
Karnataka,Mandya,2023.0,Summer,Rice,116856.03,322279.1,2.76
Karnataka,Raichur,2020.0,Summer,Sugarcane,109561.55,166939.67,1.52
Punjab,Patiala,2021.0,Summer,Maize,56311.74,119121.9,2.12
Tamil Nadu,Madurai,2020.0,Summer,Pulses,107082.61,411699.36,3.84
Maharashtra,Nagpur,2015.0,Kharif,Sugarcane,66804.85,178367.65,2.67
Karnataka,Raichur,2023.0,Summer,Maize,37651.7,66961.99,1.78
Tamil Nadu,Coimbatore,2017.0,Summer,Soybean,7693.5,32089.27,4.17
Tamil Nadu,Madurai,2019.0,Kharif,Sugarcane,88548.56,395003.09,4.46
Andhra Pradesh,Prakasam,2019.0,Rabi,Rice,77103.8,197649.43,2.56
Andhra Pradesh,Prakasam,2019.0,Rabi,Wheat,70830.06,107352.89,1.52
Punjab,Ludhiana,2019.0,Rabi,Cotton,37721.58,145392.84,3.85
Karnataka,Raichur,2021.0,Summer,Maize,64761.66,145253.93,2.24
Punjab,Patiala,2022.0,Rabi,Cotton,16268.6,59135.08,3.63
Maharashtra,Nagpur,2021.0,Kharif,Wheat,107178.57,313900.22,2.93
Maharashtra,Nagpur,2023.0,Summer,Soybean,51316.68,163028.24,3.18
Maharashtra,Pune,2021.0,Summer,Pulses,119598.85,426615.51,3.57
Maharashtra,Aurangabad,2017.0,Kharif,Groundnut,63165.38,186609.05,2.95
Maharashtra,Nagpur,2018.0,Summer,Wheat,57374.72,91674.6,1.6
Telangana,Nizamabad,2021.0,Kharif,Soybean,17688.66,46145.43,2.61
Punjab,Ludhiana,2020.0,Kharif,Maize,40066.33,105109.18,2.62
Punjab,Amritsar,2017.0,Kharif,Rice,95136.14,263077.2,2.77
Punjab,Amritsar,2022.0,Kharif,Cotton,5239.86,16466.85,3.14
Andhra Pradesh,Guntur,2019.0,Rabi,Groundnut,70062.86,294324.4,4.2
Maharashtra,Pune,2023.0,Kharif,Maize,78192.93,295963.08,3.79
Karnataka,Belgaum,2020.0,Summer,Maize,15271.22,51529.85,3.37
Tamil Nadu,Coimbatore,2021.0,Kharif,Groundnut,43984.76,72023.25,1.64
Karnataka,Belgaum,2016.0,Summer,Sugarcane,104584.66,378766.51,3.62
Tamil Nadu,Madurai,2016.0,Summer,Sugarcane,79050.13,138769.03,1.76
Tamil Nadu,Madurai,2023.0,Summer,Rice,26780.53,78400.19,2.93
Andhra Pradesh,Guntur,2019.0,Kharif,Maize,95477.06,213473.35,2.24
Karnataka,Raichur,2023.0,Kharif,Pulses,74788.3,202331.79,2.71
Andhra Pradesh,Krishna,2021.0,Rabi,Rice,25758.42,40496.64,1.57
Tamil Nadu,Coimbatore,2016.0,Rabi,Groundnut,18184.13,32695.08,1.8
Telangana,Adilabad,2019.0,Kharif,Maize,93355.04,183226.27,1.96
Maharashtra,Aurangabad,2020.0,Kharif,Maize,25867.65,94155.71,3.64
Punjab,Amritsar,2017.0,Rabi,Wheat,52474.62,129751.55,2.47
Maharashtra,Nagpur,2018.0,Kharif,Rice,91495.38,298099.93,3.26
Maharashtra,Aurangabad,2019.0,Kharif,Groundnut,11972.68,34654.57,2.89
Maharashtra,Nagpur,2021.0,Kharif,Pulses,77857.25,330208.58,4.24
Andhra Pradesh,Krishna,2023.0,Kharif,Wheat,79928.35,150002.66,1.88
Tamil Nadu,Coimbatore,2023.0,Kharif,Pulses,28397.54,125055.23,4.4
Punjab,Patiala,2023.0,Kharif,Maize,114550.45,502195.63,4.38
Tamil Nadu,Coimbatore,2022.0,Kharif,Rice,115528.16,388427.6,3.36
Karnataka,Mandya,2022.0,Kharif,Rice,36429.84,82064.29,2.25
Karnataka,Belgaum,2018.0,Summer,Soybean,72293.3,219119.93,3.03
Andhra Pradesh,Guntur,2016.0,Rabi,Wheat,50460.06,94306.37,1.87
Telangana,Nizamabad,2018.0,Rabi,Sugarcane,75201.21,328798.6,4.37
Punjab,Patiala,2019.0,Summer,Soybean,117658.64,426308.11,3.62
Punjab,Ludhiana,2018.0,Rabi,Soybean,57876.92,190909.39,3.3
Andhra Pradesh,Prakasam,2015.0,Summer,Maize,75010.48,113478.69,1.51
Andhra Pradesh,Prakasam,2023.0,Rabi,Maize,107955.84,389709.68,3.61
Maharashtra,Aurangabad,2016.0,Summer,Wheat,66944.67,279675.86,4.18
Karnataka,Belgaum,2021.0,Rabi,Wheat,100158.69,257798.17,2.57
Telangana,Nizamabad,2022.0,Kharif,Rice,47605.27,98970.05,2.08
Andhra Pradesh,Guntur,2020.0,Rabi,Rice,27023.84,106712.89,3.95
Karnataka,Belgaum,2022.0,Kharif,Cotton,116239.1,187190.07,1.61
Maharashtra,Aurangabad,2018.0,Kharif,Cotton,118190.31,403656.35,3.42
Andhra Pradesh,Krishna,2023.0,Kharif,Pulses,27283.58,101397.91,3.72
Karnataka,Raichur,2017.0,Kharif,Maize,90786.95,170887.62,1.88
Tamil Nadu,Thanjavur,2015.0,Kharif,Sugarcane,119074.41,426162.25,3.58
Tamil Nadu,Madurai,2023.0,Summer,Sugarcane,106556.72,160460.02,1.51
Maharashtra,Aurangabad,2021.0,Rabi,Rice,102099.28,277774.13,2.72
Andhra Pradesh,Prakasam,2020.0,Rabi,Pulses,64484.55,105135.22,1.63
Karnataka,Mandya,2021.0,Rabi,Rice,66227.18,162172.21,2.45
Maharashtra,Nagpur,2015.0,Kharif,Soybean,118880.43,258788.91,2.18
Karnataka,Belgaum,2018.0,Kharif,Wheat,23915.38,58172.19,2.43
Karnataka,Raichur,2022.0,Kharif,Wheat,54674.13,85951.59,1.57
Karnataka,Belgaum,2016.0,Kharif,Sugarcane,59461.3,260226.91,4.38
Andhra Pradesh,Krishna,2022.0,Kharif,Cotton,92871.34,313537.94,3.38
Tamil Nadu,Thanjavur,2015.0,Kharif,Wheat,48400.44,201841.99,4.17
Karnataka,Mandya,2022.0,Kharif,Maize,11300.72,37656.44,3.33
Maharashtra,Nagpur,2015.0,Summer,Wheat,69314.68,165298.2,2.38
Maharashtra,Pune,2021.0,Summer,Wheat,31807.88,104925.53,3.3
Karnataka,Raichur,2021.0,Rabi,Rice,58384.05,162559.72,2.78
Tamil Nadu,Madurai,2015.0,Rabi,Wheat,57218.83,142164.82,2.48
Telangana,Warangal,2016.0,Kharif,Wheat,73181.95,294362.57,4.02
Tamil Nadu,Thanjavur,2021.0,Rabi,Sugarcane,60360.92,202966.77,3.36
Telangana,Warangal,2015.0,Kharif,Maize,19683.29,64040.9,3.25
Tamil Nadu,Madurai,2023.0,Rabi,Soybean,94182.0,182922.84,1.94
Punjab,Patiala,2020.0,Rabi,Soybean,116581.17,355927.18,3.05
Karnataka,Raichur,2018.0,Kharif,Maize,63317.4,253619.42,4.01
Andhra Pradesh,Krishna,2018.0,Kharif,Soybean,78663.8,165491.62,2.1
Andhra Pradesh,Krishna,2022.0,Summer,Cotton,84899.88,377445.32,4.45
Tamil Nadu,Madurai,2020.0,Summer,Soybean,75851.86,209054.24,2.76
Telangana,Warangal,2022.0,Kharif,Pulses,30231.68,45682.83,1.51
Telangana,Nizamabad,2018.0,Rabi,Cotton,32487.19,120324.71,3.7
Punjab,Patiala,2021.0,Kharif,Groundnut,26188.12,117051.31,4.47
Punjab,Ludhiana,2015.0,Rabi,Wheat,68789.53,132571.59,1.93
Maharashtra,Nagpur,2015.0,Kharif,Soybean,27899.13,65627.2,2.35
Telangana,Adilabad,2023.0,Rabi,Maize,33285.89,69499.7,2.09
Telangana,Adilabad,2017.0,Kharif,Wheat,48576.12,187612.74,3.86
Andhra Pradesh,Krishna,2022.0,Rabi,Cotton,32617.24,128135.63,3.93
Karnataka,Mandya,2016.0,Summer,Groundnut,18626.73,77266.83,4.15
Telangana,Warangal,2021.0,Summer,Cotton,84850.7,208211.3,2.45
Maharashtra,Aurangabad,2018.0,Kharif,Cotton,103260.07,246022.1,2.38
Telangana,Adilabad,2019.0,Kharif,Cotton,105377.92,427255.61,4.05
Tamil Nadu,Coimbatore,2016.0,Summer,Cotton,95236.5,368850.17,3.87
Tamil Nadu,Thanjavur,2021.0,Summer,Maize,91400.42,313980.07,3.44
Tamil Nadu,Coimbatore,2022.0,Summer,Pulses,25584.83,93063.81,3.64
Tamil Nadu,Madurai,2022.0,Summer,Pulses,59482.19,192934.06,3.24
Karnataka,Raichur,2018.0,Kharif,Rice,107911.73,308221.82,2.86
Telangana,Adilabad,2021.0,Rabi,Cotton,107201.53,344557.63,3.21
Punjab,Amritsar,2016.0,Kharif,Wheat,38930.52,118989.66,3.06
Telangana,Nizamabad,2023.0,Rabi,Rice,76429.47,212344.53,2.78
Maharashtra,Pune,2022.0,Rabi,Groundnut,41457.35,109742.28,2.65
Telangana,Adilabad,2016.0,Rabi,Cotton,46295.69,80890.4,1.75
Tamil Nadu,Madurai,2018.0,Rabi,Wheat,16317.05,27968.17,1.71
Andhra Pradesh,Prakasam,2018.0,Rabi,Cotton,82637.34,185939.88,2.25
Karnataka,Raichur,2017.0,Kharif,Sugarcane,119816.59,450168.91,3.76
Karnataka,Raichur,2019.0,Kharif,Sugarcane,37412.21,95023.16,2.54
Maharashtra,Pune,2023.0,Rabi,Rice,118766.58,517165.1,4.35
Maharashtra,Nagpur,2018.0,Summer,Cotton,59560.4,181508.89,3.05
Tamil Nadu,Coimbatore,2016.0,Rabi,Pulses,41003.61,84612.58,2.06
Karnataka,Belgaum,2022.0,Rabi,Cotton,103088.57,163943.01,1.59
Telangana,Nizamabad,2015.0,Rabi,Maize,62477.02,217204.13,3.48
Punjab,Amritsar,2021.0,Rabi,Cotton,83862.72,227276.87,2.71
Karnataka,Raichur,2015.0,Rabi,Sugarcane,70271.4,112197.21,1.6
Telangana,Warangal,2021.0,Summer,Soybean,117719.79,248696.46,2.11
Maharashtra,Nagpur,2022.0,Kharif,Groundnut,17493.41,56128.39,3.21
Maharashtra,Aurangabad,2017.0,Kharif,Sugarcane,16996.02,53685.67,3.16
Andhra Pradesh,Prakasam,2017.0,Kharif,Pulses,27884.85,118065.46,4.23
Maharashtra,Pune,2019.0,Kharif,Cotton,80850.54,138249.43,1.71
Andhra Pradesh,Krishna,2020.0,Kharif,Rice,103866.34,283823.47,2.73
Telangana,Warangal,2021.0,Summer,Maize,59998.88,102375.43,1.71
Telangana,Warangal,2021.0,Rabi,Cotton,99058.05,346146.26,3.49
Telangana,Nizamabad,2018.0,Summer,Sugarcane,62784.63,223168.46,3.55
Punjab,Ludhiana,2022.0,Kharif,Rice,12356.55,33334.4,2.7
Telangana,Nizamabad,2022.0,Summer,Soybean,57923.52,187000.19,3.23
Karnataka,Mandya,2022.0,Summer,Sugarcane,44879.91,180772.62,4.03
Punjab,Amritsar,2018.0,Rabi,Maize,25651.48,86014.79,3.35
Maharashtra,Pune,2017.0,Summer,Groundnut,85330.03,152450.85,1.79
Karnataka,Mandya,2019.0,Kharif,Cotton,106493.92,331538.22,3.11
Karnataka,Mandya,2021.0,Rabi,Cotton,119124.82,376252.37,3.16
Punjab,Ludhiana,2020.0,Summer,Wheat,52161.05,104036.12,1.99
Telangana,Nizamabad,2015.0,Rabi,Rice,13417.48,48080.96,3.58
Karnataka,Belgaum,2021.0,Rabi,Groundnut,103413.91,278185.79,2.69
Andhra Pradesh,Krishna,2017.0,Summer,Wheat,42617.69,159647.06,3.75
Maharashtra,Pune,2023.0,Kharif,Wheat,80557.6,293289.65,3.64
Maharashtra,Nagpur,2017.0,Rabi,Pulses,24617.75,38260.87,1.55
Andhra Pradesh,Guntur,2023.0,Kharif,Sugarcane,90266.35,181016.54,2.01
Karnataka,Mandya,2022.0,Kharif,Sugarcane,46180.0,99287.8,2.15
Andhra Pradesh,Prakasam,2015.0,Rabi,Cotton,101197.63,398165.67,3.93
Karnataka,Raichur,2019.0,Rabi,Wheat,56058.47,184691.14,3.29
Andhra Pradesh,Krishna,2020.0,Kharif,Cotton,109506.98,229959.96,2.1
Andhra Pradesh,Krishna,2020.0,Kharif,Rice,99360.55,351724.28,3.54
Andhra Pradesh,Guntur,2017.0,Summer,Wheat,88261.32,144045.79,1.63
Tamil Nadu,Thanjavur,2023.0,Rabi,Soybean,77080.44,260070.95,3.37
Tamil Nadu,Coimbatore,2018.0,Kharif,Groundnut,29584.7,76024.66,2.57
Telangana,Warangal,2020.0,Summer,Groundnut,6377.86,13637.8,2.14
Telangana,Warangal,2020.0,Summer,Sugarcane,10052.98,41784.01,4.16
Maharashtra,Pune,2023.0,Kharif,Pulses,95994.87,409578.6,4.27
Tamil Nadu,Thanjavur,2020.0,Kharif,Sugarcane,117862.83,423003.34,3.59
Karnataka,Raichur,2017.0,Rabi,Maize,78065.65,324120.86,4.15
Punjab,Patiala,2020.0,Kharif,Pulses,7029.61,29779.61,4.24
Maharashtra,Pune,2015.0,Summer,Cotton,31749.68,106331.14,3.35
Andhra Pradesh,Krishna,2021.0,Summer,Cotton,92083.26,309335.17,3.36
Andhra Pradesh,Guntur,2019.0,Rabi,Soybean,28231.36,74170.67,2.63
Karnataka,Mandya,2022.0,Summer,Cotton,90014.4,223782.06,2.49
Punjab,Amritsar,2021.0,Summer,Rice,79525.34,188106.48,2.37
Andhra Pradesh,Guntur,2018.0,Rabi,Soybean,28669.01,47654.26,1.66
